date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Antigua & Barbuda,Barbados,Belize,Costa Rica,Dominica,Dominican Rep.,Greece,Malawi
1989-01-31,691,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,126,0,2716,0,0,0,0,0,30,0,0,0,0,0,49,0,0,0,1,0,0,1,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,2,0,0,60,0,0,0,0,8,0,0,0,3,0,0,0,103,60,0,0,0,0,0,0,0,0,0,0,500,16,0,0,21,100,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0
1989-02-28,160,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,28,0,0,16,0,9682,0,0,0,0,0,13,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,150,52,63,0,0,0,0,0,0,0,0,0,0,0,12,0,0,110,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,21,0,21,0,0,0,0,0,0,0,0,0
1989-03-31,1744,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,21,0,0,0,0,0,0,0,202,0,441,0,0,0,0,0,6,0,0,0,0,0,37,0,0,0,5,0,0,0,0,3,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,18,152,0,0,0,0,0,0,0,29,0,0,0,112,77,0,0,0,0,0,0,0,0,0,0,0,9,0,0,18,102,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,17,0,0,9,0,0,0,0,0,0,0,0
1989-04-30,494,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,13,0,0,0,0,0,0,0,19,0,476,0,0,0,0,0,12,0,0,0,48,0,113,0,0,0,11,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,102,0,0,0,454,55,0,0,0,7,0,0,0,25,0,2,0,159,58,0,0,0,20,0,0,121,0,0,0,8,369,0,2,108,290,0,0,0,0,0,0,0,0,17,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-05-31,442,0,0,217,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,95,0,242,0,0,0,0,0,5,0,0,0,0,0,20,2,0,0,14,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,192,179,0,0,0,0,0,0,0,4,0,0,0,114,109,0,0,0,0,0,0,0,0,0,0,20,13,0,5,72,460,0,0,0,0,0,0,0,0,71,557,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1989-06-30,495,0,0,24,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,36,0,0,0,0,2600,15,0,0,0,0,0,0,0,36,0,99,0,0,0,0,0,8,0,0,0,0,0,65,0,0,0,3,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,4,278,31,0,0,0,83,0,0,0,0,0,1,0,197,155,0,0,0,97,0,0,0,0,0,0,0,15,0,0,27,40,0,0,0,0,0,0,0,0,43,350,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0
1989-07-31,608,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,0,0,0,1,0,8,0,0,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,4,0,0,0,183,57,0,0,0,4,0,0,0,10,0,0,0,169,29,0,0,0,0,0,0,0,0,0,0,192,11,0,2,47,0,0,0,0,0,6,0,0,0,44,0,0,0,2,0,0,1,0,16,9,0,0,0,0,0,0,0,0
1989-08-31,210,0,0,291,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,9,0,0,0,0,0,157,2,0,0,5,0,0,0,0,0,0,0,0,30,262,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,18,0,1,0,6,37,0,0,0,0,0,0,0,0,0,0,19,12,0,1,120,2,0,0,0,0,0,0,0,0,76,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1989-09-30,71,0,0,494,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,53,0,870,0,0,0,0,0,7,0,0,0,0,0,40,1,0,0,9,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,4,68,0,0,0,0,30,170,0,0,10,0,1,0,19,97,0,0,0,0,0,0,0,0,0,0,134,58,0,4,38,18,0,0,0,0,0,0,0,0,42,0,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1989-10-31,239,0,0,255,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,4537,0,0,0,2,0,4,0,0,0,0,0,415,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,97,0,0,0,0,33,0,0,0,0,77,0,0,231,31,0,0,0,0,0,0,0,0,0,0,0,20,0,1,60,199,0,0,0,0,0,0,0,0,95,0,0,0,2,0,0,5,0,8,0,0,0,0,0,0,0,0,0
