date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe
2018-07,1504.499308,0.000000,3.166418,0.768452,0.000000,0.000000,0.000000,0.000000,0.547520,0.000000,0.132108,9.133435,0.000000,0.000000,0.000000,0.000000,0.000000,15.927850,7.895564,7.046435,0.000000,74.140329,0.000000,64.273352,2.393626,0.000000,10.564068,0.000000,0.000000,0.000000,0.000000,239.533250,0.000000,71.550820,0.000000,0.000000,91.946373,2.474777,0.000000,0.000000,0.000000,0.000000,0.000000,2.945692,0.000000,0.000000,6.908523,0.000000,53.218617,0.442802,0.173983,115.946183,5.621504,0.000000,1.019170,0.000000,0.000000,15.572249,0.000000,0.000000,0.000000,0.000000,0.946248,0.000000,0.000000,103.937294,1.570644,0.777740,112.723338,0.000000,0.000000,40.230350,0.000000,0.000000,112.647576,8.181946,0.000000,0.000000,0.000000,0.000000,28.576430,266.273601,0.000000,23.677310,0.000000,0.000000,0.000000,0.495384,31.877499,0.000000,0.000000,0.000000,1.405123,2.746377,4.406786,1.810331,0.000000,0.000000,0.000000,258.261656,8.020059,89.393499,0.000000,0.000000,52.877427,0.000000,877.868379,0.000000,0.250000,6.190698,1.059120,0.000000,0.708788,26.703071,0.700000,22.666902,0.000000,0.000000,1.546878,0.000000,4.156879,425.105736,0.000000,2.635013
2018-08,1908.126389,0.000000,15.722303,0.283326,0.000000,0.000000,0.000000,0.000000,0.723383,0.000000,0.177145,3.003315,0.000000,0.000000,0.000000,0.000000,0.000000,18.411102,12.022181,18.725381,0.000000,68.491996,0.000000,77.468466,9.230577,0.000000,12.851027,0.000000,0.000000,0.000000,0.000000,164.289141,0.000000,65.692962,0.000000,0.000000,13.902487,2.704743,0.000000,0.000000,0.000000,0.000000,0.000000,0.674073,0.000000,0.000000,40.540013,0.000000,50.851241,0.955884,-0.425291,129.360899,5.015115,0.000000,0.885579,0.000000,0.000000,48.058842,0.000000,0.000000,0.000000,0.000000,0.848796,0.000000,0.000000,149.368564,0.917928,0.542592,121.471621,0.000000,0.000000,45.799024,0.000000,0.000000,-4.540766,18.784366,0.000000,0.000000,0.000000,0.000000,24.955530,323.105110,0.000000,17.652215,0.000000,0.000000,0.000000,2.147307,31.764145,0.000000,0.000000,0.000000,4.323496,2.330806,3.275714,0.280372,0.000000,0.000000,0.000000,553.034984,7.248536,96.001603,0.000000,0.000000,56.116894,0.000000,1508.035272,0.000000,0.425000,5.813401,1.079259,0.000000,3.593330,65.510230,0.750000,13.756794,0.000000,0.000000,2511.794066,0.000000,5.882465,334.693202,0.000000,1.451001
2018-09,1721.234997,0.000000,9.295697,1.568819,0.000000,0.000000,0.000000,0.000000,0.104360,0.000000,5.503493,10.546283,0.000000,0.000000,0.000000,0.000000,0.000000,18.828784,4.735769,13.075565,0.000000,85.729354,0.000000,60.951586,5.687713,0.000000,48.415341,0.000000,0.000000,0.000000,0.000000,219.081799,0.000000,42.205343,0.000000,0.000000,69.657564,0.342230,0.000000,0.000000,0.000000,0.000000,0.000000,0.430634,0.000000,0.000000,29.597316,0.000000,45.266339,1.241434,-0.599273,80.398733,10.953235,0.000000,1.721531,0.000000,0.000000,15.230049,0.000000,0.000000,0.000000,0.000000,0.863090,0.000000,0.000000,92.977771,0.901913,0.499290,93.680098,0.000000,0.000000,62.848939,0.000000,0.000000,1.395158,9.172436,0.000000,0.000000,0.000000,0.000000,47.734935,788.102358,0.000000,25.014297,0.000000,0.000000,0.000000,0.181052,17.524987,0.000000,0.000000,0.000000,3.449134,3.784871,0.698571,1.238017,0.000000,0.000000,0.000000,639.757299,7.962840,149.188219,0.000000,0.000000,82.691587,0.000000,1268.395253,0.000000,0.100000,7.679689,0.335030,0.000000,2.400035,12.754723,0.612500,9.835539,0.000000,0.000000,65.803577,0.000000,5.103815,154.924298,0.000000,10.160047
2018-10,1507.264642,0.000000,9.149378,9.476500,0.000000,0.000000,0.000000,0.000000,0.636542,0.000000,1.038848,14.724038,0.000000,0.000000,0.000000,0.000000,0.000000,24.316757,9.731628,8.784465,0.000000,85.895965,0.000000,90.274583,3.802092,0.000000,21.700458,0.000000,0.000000,0.000000,0.000000,919.407711,0.000000,33.903201,0.000000,0.000000,76.246939,3.037658,0.000000,0.000000,0.000000,0.000000,0.000000,1.356072,0.000000,0.000000,2.854673,0.000000,53.649612,0.122933,6.618855,414.942797,2.730637,0.000000,0.580977,0.000000,0.000000,38.444924,0.000000,0.000000,0.000000,0.000000,1.226048,0.000000,0.000000,84.607067,0.472704,0.469425,168.140414,0.000000,0.000000,52.218174,0.000000,0.000000,2.873942,8.352439,0.000000,0.000000,0.000000,0.000000,17.502212,493.105612,0.000000,26.230396,0.000000,0.000000,0.000000,0.289079,27.616860,0.000000,0.000000,0.000000,7.005767,3.603112,0.228571,0.498182,0.000000,0.000000,0.000000,240.722301,9.116274,129.971378,0.000000,0.000000,65.415534,0.000000,1507.452009,0.000000,0.150000,5.632691,0.297461,0.000000,4.440898,27.339041,0.500000,10.927023,0.000000,0.000000,8.947701,0.000000,1.856900,269.886023,0.000000,4.485501
2018-11,1425.948589,0.000000,13.676791,0.129630,0.000000,0.000000,0.000000,0.000000,0.223878,0.000000,0.492402,4.301662,0.000000,0.000000,0.000000,0.000000,0.000000,24.233888,6.470814,22.212842,0.000000,79.863173,0.000000,94.614811,59.033835,0.000000,43.918410,0.000000,0.000000,0.000000,0.000000,164.635391,0.000000,44.719867,0.000000,0.000000,7.839728,2.799177,0.000000,0.000000,0.000000,0.000000,0.000000,0.144948,0.000000,0.000000,2.574184,0.000000,47.590163,1.124718,1.395082,300.416819,2.963227,0.000000,4.031376,0.000000,0.000000,13.858567,0.000000,0.000000,0.000000,0.000000,0.870769,0.000000,0.000000,106.423902,1.541322,1.021422,127.190002,0.000000,0.000000,41.827446,0.000000,0.000000,7.208619,20.630281,0.000000,0.000000,0.000000,0.000000,6.596491,1059.457275,0.000000,20.380520,0.000000,0.000000,0.000000,1.555645,36.985710,0.000000,0.000000,0.000000,5.446289,5.515613,15.197143,8.364132,0.000000,0.000000,0.000000,292.325881,28.808124,165.089510,0.000000,0.000000,71.343374,0.000000,890.829775,0.000000,0.681250,4.463342,0.343781,0.000000,4.299860,19.733871,0.930903,9.512244,0.000000,0.000000,3.519264,0.000000,8.703328,628.751561,0.000000,1.934707
2018-12,1098.630180,0.000000,17.787314,0.597965,0.000000,0.000000,0.000000,0.000000,0.219795,0.000000,1.611845,6.039290,0.000000,0.000000,0.000000,0.000000,0.000000,21.886445,6.391984,28.658921,0.000000,88.684109,0.000000,329.686373,7.940156,0.000000,37.660987,0.000000,0.000000,0.000000,0.000000,181.385471,0.000000,29.618677,0.000000,0.000000,2.341667,6.761028,0.000000,0.000000,0.000000,0.000000,0.000000,0.073556,0.000000,0.000000,2.808623,0.000000,49.056112,0.106357,2.569388,186.965551,3.772671,0.000000,3.155707,0.000000,0.000000,7.626688,0.000000,0.000000,0.000000,0.000000,2.519994,0.000000,0.000000,80.648319,0.935689,0.843575,148.798489,0.000000,0.000000,63.701401,0.000000,0.000000,17.838789,1.138567,0.000000,0.000000,0.000000,0.000000,22.815256,466.519070,0.000000,18.947263,0.000000,0.000000,0.000000,2.504913,37.263439,0.000000,0.000000,0.000000,5.011011,6.935023,2.314286,0.912893,0.000000,0.000000,0.000000,167.437935,70.752035,145.672556,0.000000,0.000000,75.699671,0.000000,1028.739033,0.000000,0.238889,8.635253,0.416088,0.000000,2.968848,29.515018,0.100000,24.169677,0.000000,0.000000,20.920752,0.000000,0.565420,898.053116,0.000000,3.762886
2019-01,1073.877947,0.000000,23.538056,1.015432,0.000000,0.000000,0.000000,0.000000,-0.022423,0.000000,69.200293,5.581446,0.000000,0.000000,0.000000,0.000000,0.000000,21.157013,8.144418,23.000240,0.000000,133.775860,0.000000,257.489981,7.524075,0.000000,87.322694,0.000000,0.000000,0.000000,0.000000,159.165515,0.000000,31.374629,0.000000,0.000000,50.942902,0.885691,0.000000,0.000000,0.000000,0.000000,0.000000,0.294609,0.000000,0.000000,5.054447,0.000000,48.585132,1.684688,1.053561,159.965593,4.035678,0.000000,0.759663,0.000000,0.000000,6.272038,0.000000,0.000000,0.000000,0.000000,0.807245,0.000000,0.000000,42.569447,2.368675,0.348063,157.036906,0.000000,0.000000,61.495614,0.000000,0.000000,2.351668,3.304043,0.000000,0.000000,0.000000,0.000000,11.102899,400.762105,0.000000,22.556193,0.000000,0.000000,0.000000,0.339647,39.668428,0.000000,0.000000,0.000000,5.498850,8.564582,1.485714,0.504174,0.000000,0.000000,0.000000,228.289246,48.976864,399.930863,0.000000,0.000000,48.419725,0.000000,1144.873145,0.000000,0.276562,10.989214,0.627188,0.000000,3.812159,25.804193,0.850000,19.988881,0.000000,0.000000,0.500931,0.000000,4.823411,747.889999,0.000000,13.309343
2019-02,1236.726215,0.000000,1.132228,4.480864,0.000000,0.000000,0.000000,0.000000,-0.037060,0.000000,6.375064,25.136049,0.000000,0.000000,0.000000,0.000000,0.000000,15.021889,13.718757,95.324935,0.000000,107.999537,0.000000,89.925571,19.952348,0.000000,37.677220,0.000000,0.000000,0.000000,0.000000,230.609275,0.000000,501.478201,0.000000,0.000000,7.670122,2.545356,0.000000,0.000000,0.000000,0.000000,0.000000,0.898473,0.000000,0.000000,6.780028,0.000000,63.834538,0.584714,1.760231,158.622829,3.268433,0.000000,1.189673,0.000000,0.000000,16.814675,0.000000,0.000000,0.000000,0.000000,0.821146,0.000000,0.000000,152.109444,1.337473,0.266776,51.577827,0.000000,0.000000,60.054105,0.000000,0.000000,-0.468395,3.086603,0.000000,0.000000,0.000000,0.000000,9.536232,766.460571,0.000000,37.431326,0.000000,0.000000,0.000000,0.206202,33.631414,0.000000,0.000000,0.000000,2.902353,4.554996,1.634286,1.935702,0.000000,0.000000,0.000000,218.873629,81.773227,249.990319,0.000000,0.000000,73.230214,0.000000,991.150984,0.000000,0.200000,5.978092,0.645140,0.000000,6.189628,23.892369,0.600000,13.971494,0.000000,0.000000,0.519908,0.000000,3.755736,621.779880,0.000000,11.287780
2019-03,1510.399119,0.000000,1.656184,3.175926,0.000000,0.000000,0.000000,0.000000,-0.262851,0.000000,3.211423,8.456583,0.000000,0.000000,0.000000,0.000000,0.000000,16.708211,5.589742,32.852181,0.000000,137.396085,0.000000,34.665342,2.204823,0.000000,35.071443,0.000000,0.000000,0.000000,0.000000,126.081384,0.000000,27.090105,0.000000,0.000000,40.922692,2.369521,0.000000,0.000000,0.000000,0.000000,0.000000,1.141412,0.000000,0.000000,4.431511,0.000000,67.020724,0.449272,2.464753,88.584717,3.376935,0.000000,0.687739,0.000000,0.000000,24.547628,0.000000,0.000000,0.000000,0.000000,0.658053,0.000000,0.000000,64.826387,7.519416,3.705488,58.907269,0.000000,0.000000,52.531133,0.000000,0.000000,-0.080016,5.584604,0.000000,0.000000,0.000000,0.000000,9.536232,373.223360,0.000000,18.166669,0.000000,0.000000,0.000000,0.090099,33.801241,0.000000,0.000000,0.000000,4.174595,3.748485,2.664286,0.207686,0.000000,0.000000,0.000000,320.658664,52.787453,268.460550,0.000000,0.000000,88.249569,0.000000,1589.611061,0.000000,0.200000,5.743337,0.362282,0.000000,1.017452,32.691491,0.300000,28.004041,0.000000,0.000000,0.702786,0.000000,4.556644,1010.591682,0.000000,0.481716
2019-04,1784.784101,0.000000,3.311643,0.086420,0.000000,0.000000,0.000000,0.000000,-0.350975,0.000000,0.243289,12.079597,0.000000,0.000000,0.000000,0.000000,0.000000,13.969819,5.449523,14.584776,0.000000,104.470231,0.000000,51.943862,3.943234,0.000000,48.988052,0.000000,0.000000,0.000000,0.000000,266.492283,0.000000,24.491296,0.000000,0.000000,3.615820,0.521437,0.000000,0.000000,0.000000,0.000000,0.000000,1.986538,0.000000,0.000000,38.829746,0.000000,55.052177,0.458807,-0.289971,140.308949,7.272007,0.000000,2.245761,0.000000,0.000000,14.862375,0.000000,0.000000,0.000000,0.000000,1.045163,0.000000,0.000000,54.172517,6.369883,3.344784,63.435795,0.000000,0.000000,40.394684,0.000000,0.000000,15.100278,5.452674,0.000000,0.000000,0.000000,0.000000,2.860870,395.613449,0.000000,22.432533,0.000000,0.000000,0.000000,0.002310,26.723942,0.000000,0.000000,0.000000,4.122389,7.174266,29.108929,0.383264,0.000000,0.000000,0.000000,421.726746,124.849607,161.121332,0.000000,0.000000,73.754162,0.000000,1219.555091,0.000000,0.250000,5.336629,0.376184,0.000000,2.008895,24.652034,0.577778,14.106767,0.000000,0.000000,0.721638,0.000000,4.208996,698.028744,0.000000,7.430165
