date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia,Ireland,Denmark,Kosovo
2024-07,0.000000,46.739990,0.000000,0.787500,0.414615,3.711379,13.607290,0.958814,0.000000,55.528384,0.000000,3.312000,2.616021,4.553532,0.000000,0.684919,0.654005,0.000000,223.920802,474.246572,261.695588,0.000000,65.954924,0.684919,51.950240,1.262593,58.181610,1.650295,19.570184,0.000000,0.790766,18.342585,1.169054,0.000000,0.426037,796.763816,1.330577,0.399106,0.874012,0.000000,6.077786,1.391809,8.257137,0.000000,0.000000,46.269565,2.758450,54.852360,8.445226,15.652873,70.819975,1124.357245,0.000000,0.000000,1.197318,14.855060,0.000000,28.809691,0.000000,68.639859,0.000000,0.962500,0.020327,0.409914,252.648823,0.000000,2.487692,434.882121,0.000000,0.340456,31.752357,0.407447,0.407447,0.000000,0.000000,121.811182,497.010738,140.818468,0.000000,8.592460,0.000000,0.867808,27.716048,0.168115,0.000000,0.000000,0.980000,1.620183,6.148333,7.124766,0.000000,71.710453,6.158575,0.686096,0.296865,787.615314,0.219186,262.951896,19.751697,0.279409,15.805671,2.901156,0.000000,0.000000,6.502169,9.605951,5455.878996,0.000000,0.714264,1.178507,0.000000,1.830163,0.000000,0.204639,0.341369,1.652351
2024-08,0.700000,45.425569,0.000000,0.000000,0.069504,4.370225,4.982098,1.171751,0.000000,5.378153,0.000000,3.758386,4.697170,5.270564,0.000000,1.223952,1.174292,0.000000,314.639879,563.764835,124.205449,0.000000,72.447681,1.223952,21.296751,2.270504,114.246494,0.277938,35.192811,0.000000,0.323056,19.195432,0.729693,0.000000,0.105893,379.051245,0.710213,0.162909,0.188195,0.000000,2.376603,1.436610,9.938092,0.000000,0.000000,93.115799,0.260235,95.063278,8.269247,13.982229,34.188099,2309.700179,0.000000,0.067308,0.488726,35.340930,0.000000,6.173572,0.000000,49.097945,0.000000,0.863333,1.882335,0.102300,259.154980,0.000000,0.633590,390.447172,0.000000,0.492080,20.323298,0.037583,0.037583,0.000000,0.000000,108.001635,542.039334,107.389843,0.000000,15.801932,0.000000,1.281230,34.861401,0.209062,0.000000,0.000000,0.070000,1.101321,1.073333,5.313943,0.000000,55.348399,2.209977,0.383031,0.221414,1045.246027,0.283928,351.004191,1.256749,0.519808,9.201162,2.244066,0.000000,0.000000,4.419193,57.400406,5167.201501,0.000000,0.592083,0.801584,0.000000,1.059018,0.000000,0.185888,0.227533,0.689226
2024-09,1.400000,24.830964,0.000000,9.675000,0.502564,1.732942,4.963162,0.502216,0.000000,7.017323,0.000000,3.083478,0.731799,3.456843,0.000000,0.584594,0.182950,0.000000,240.631180,596.396962,22.985974,0.000000,60.399882,0.584594,25.938366,0.690076,75.941407,0.328975,10.696183,0.000000,0.295351,13.271298,0.483045,0.000000,0.185378,124.774057,1.756344,0.149075,0.369993,0.000000,2.059586,1.644970,9.329146,0.000000,0.000000,47.402012,16.150070,55.272607,14.212377,84.968876,36.157324,7200.137015,0.000000,0.164330,0.447226,22.444487,0.000000,12.305959,0.000000,43.018319,0.000000,0.182609,0.726679,0.069860,178.808502,0.000000,2.162821,395.380790,0.000000,1.901456,21.937454,0.278033,0.278033,0.000000,0.000000,159.179890,265.313712,203.138804,0.000000,18.889324,0.000000,0.869352,46.303837,0.131314,0.000000,0.000000,0.350000,0.918572,0.198333,4.640581,0.000000,333.238996,3.595665,0.387842,0.193358,549.323311,0.348288,483.280139,9.756867,0.728617,11.637558,2.414025,0.000000,0.014000,4.096554,26.770962,6841.828669,0.000000,0.508555,1.687715,0.000000,1.278242,0.000000,0.214436,0.129786,0.425759
2024-10,2.100000,29.098289,0.000000,0.325000,872.200000,2.576486,2.179812,0.809416,0.000000,1.830606,0.000000,3.728828,3.988251,3.244617,0.000000,0.829153,0.997063,0.000000,218.585105,473.811609,7.221511,0.000000,69.520756,0.829153,17.269931,1.778382,58.498489,0.535018,27.564927,0.000000,0.471104,15.698181,0.348270,0.000000,0.161928,147.048421,2.033921,0.236738,0.323855,0.000000,0.094648,3.358269,1.497912,0.000000,0.000000,69.002209,0.107480,83.832959,15.134538,65.796423,58.222449,2294.579670,0.000000,0.471154,0.710213,20.444989,0.000000,10.978784,0.000000,39.805254,0.000000,0.000000,0.020327,0.077499,294.200829,0.000000,1.168462,330.542741,0.000000,0.764470,24.191182,0.985233,0.985233,0.000000,0.000000,170.631215,473.027697,164.573193,0.000000,11.768558,0.000000,0.171410,29.102915,0.712377,0.000000,0.000000,0.070000,1.519948,0.000000,2.320801,0.000000,147.110653,3.732338,0.147390,0.096700,468.034983,0.186995,496.503637,5.916137,0.350488,2.420493,1.885670,0.000000,0.000000,4.259192,7.016042,7442.999147,0.000000,0.066221,0.140000,0.000000,1.829226,0.000000,0.207356,0.077342,8.860317
2024-11,2.800000,28.876275,0.000000,0.612500,0.521277,9.027558,4.773967,2.198649,0.000000,1.830606,0.000000,3.659545,8.843161,4.682672,0.000000,0.304251,2.210790,0.000000,241.098741,796.823473,7.841335,0.000000,60.090732,0.304251,12.734387,4.604315,61.912138,0.439485,71.366885,0.000000,1.081845,19.100579,12.201595,0.000000,0.693017,233.632232,1.077229,0.545164,1.385525,0.000000,0.240795,1.921474,1.836370,0.000000,0.000000,36.078807,8.001466,60.562212,13.413417,13.366253,31.003476,5988.490099,0.000000,0.652885,1.635492,56.020827,0.000000,46.171124,0.000000,26.847919,0.000000,0.000000,0.706352,0.066901,228.435188,0.000000,4.778397,353.623838,0.000000,0.224909,30.105214,0.833012,0.833012,0.000000,0.000000,161.574566,297.208230,118.689734,0.000000,4.084512,0.000000,2.698621,65.744521,0.313317,0.000000,0.000000,0.000000,2.136379,1.026667,5.021556,0.000000,84.705912,3.381755,0.110842,0.209231,542.827101,0.242593,380.809772,11.742400,0.226360,5.789716,4.751135,0.000000,0.000000,2.189892,3.098899,9327.651639,0.000000,0.185099,0.000000,0.000000,1.603359,0.000000,0.156382,0.061775,0.110740
2024-12,3.500000,62.986210,0.000000,0.050000,36.037589,9.018472,3.300569,2.385368,0.000000,2.135707,0.000000,4.254858,10.054762,5.696990,0.000000,1.394190,2.513690,0.000000,225.616060,551.232037,75.587077,0.000000,66.877231,1.394190,27.760706,4.356810,60.611946,0.836409,67.530560,0.000000,0.161751,42.925168,11.372125,0.000000,0.079383,41.505743,0.856972,0.081223,0.159275,0.000000,2.118045,1.163181,0.962740,0.000000,0.000000,45.912896,2.163283,75.060203,10.093287,38.500957,28.679735,5489.786279,0.000000,0.228846,0.243669,24.348274,0.000000,5.282710,0.000000,35.909477,0.000000,0.000000,2.811434,0.225947,256.024256,0.000000,0.644359,544.630385,0.000000,0.261926,24.725414,0.347174,0.347174,0.000000,0.000000,196.915685,344.392764,172.515507,0.000000,12.235644,0.000000,0.369946,44.307253,0.708312,0.000000,0.000000,0.070000,1.380640,0.420000,2.580605,0.000000,119.486405,1.807914,0.110457,0.107525,309.019437,0.480608,214.762326,4.108955,0.117246,9.278492,1.760055,0.000000,0.000000,4.812641,17.534394,8964.619682,0.000000,0.151963,0.537015,0.000000,1.748396,0.000000,0.120517,0.050571,0.140280
2025-01,4.200000,66.674337,0.000000,1.837500,8.983333,13.430518,3.212283,2.612803,0.000000,34.476414,0.000000,2.262318,13.143969,7.124875,0.000000,2.943264,3.285992,0.000000,297.687372,533.113212,198.627679,0.000000,99.323335,2.943264,45.653694,6.533504,62.067499,0.938048,101.269310,0.000000,0.678089,12.908098,76.339767,0.000000,0.341688,80.297030,1.758815,0.342515,0.684139,0.000000,3.802353,0.962866,0.708060,0.000000,0.000000,62.354687,0.394094,166.537767,12.651438,56.867316,39.068386,1944.572242,0.000000,1.646795,1.027545,22.636397,0.000000,22.699060,0.000000,26.796389,0.000000,2.070326,0.007623,0.367191,251.123926,0.000000,0.450513,325.229660,0.000000,0.023896,52.293506,0.789078,0.789078,0.000000,0.000000,140.801881,203.098053,109.330696,0.000000,10.387631,0.000000,5.365246,44.095454,2.331407,0.000000,0.000000,0.280000,1.533344,0.653333,61.082438,0.000000,172.084666,2.287775,0.516365,2.545102,486.832520,0.354685,144.952956,6.409389,0.424432,11.365348,1.093023,0.000000,0.000000,1.067260,13.183526,11419.229259,0.000000,0.905219,0.140000,0.000000,3.429185,0.000000,0.446728,0.243195,1.182601
2025-02,4.900000,31.120702,0.000000,0.000000,174.271527,10.205069,4.161730,2.814614,0.000000,2.613850,0.000000,3.321635,11.715023,20.295023,0.000000,2.289851,2.928756,0.000000,332.359064,893.280568,143.921684,0.000000,76.000493,2.289851,30.126464,5.745949,93.772504,1.941703,89.062202,0.000000,1.007492,29.072708,4.154973,0.000000,0.326441,92.421150,1.408033,0.507723,0.654511,0.000000,1.482353,2.704114,0.865499,0.000000,0.000000,50.120203,0.601639,93.895389,5.810385,24.887972,34.825208,1273.491232,0.000000,1.191346,1.523169,20.820653,0.000000,21.765685,0.000000,26.142258,0.000000,0.996739,408.113975,0.212487,199.603721,0.000000,1.200000,310.101139,0.000000,0.129637,18.744680,0.581422,0.581422,0.000000,0.000000,218.261920,641.216402,162.189443,0.000000,4.209398,0.000000,0.349427,66.020505,1.573133,0.000000,0.000000,0.700000,2.149604,0.140000,2.919101,0.000000,154.779771,3.004727,0.389089,0.121629,482.017500,0.359365,174.605329,18.300907,0.250676,10.745436,31.057348,0.000000,0.000000,2.956604,2.039840,15087.496245,0.000000,0.436094,0.263284,0.000000,0.929308,0.000000,0.402380,0.185507,1.224346
2025-03,5.600000,34.891118,0.000000,0.000000,2.450000,14.076781,1.774975,4.539266,0.000000,0.610202,0.000000,3.891851,17.313629,8.307164,0.000000,2.513856,4.328407,0.000000,322.710190,1026.574998,86.018457,0.000000,79.544905,2.513856,45.817897,8.246936,112.792381,3.013755,127.827505,0.000000,0.631558,22.281284,7.293598,0.000000,0.316900,72.726721,1.355563,0.318478,0.647870,0.000000,4.699705,2.403387,3.695373,0.000000,0.000000,78.683041,4.732475,54.212632,7.459993,102.618889,47.463374,1552.409563,0.000000,0.457692,0.955434,16.207556,0.000000,21.502790,0.000000,32.623566,0.000000,1.458080,311.559710,0.412124,191.684627,0.000000,0.077179,295.577401,0.000000,0.907500,56.962957,1.655590,1.655590,0.000000,0.000000,239.990753,279.364456,119.828810,0.000000,12.051217,0.000000,0.309965,45.914207,0.949483,0.000000,0.000000,40.810000,2.026607,0.233333,4.561650,0.000000,176.463401,4.576444,0.386380,0.190069,481.332607,0.443942,201.920859,5.661070,0.829220,4.991041,5.196944,0.000000,0.000000,5.463988,16.513248,16276.144307,0.000000,0.683316,0.140000,0.000000,0.822021,0.000000,0.075049,0.195784,0.126447
2025-04,6.300000,38.391353,0.000000,1.633333,3.608182,23.987127,2.270039,6.258936,0.000000,0.305101,0.000000,2.145076,25.704338,30.982573,0.000000,2.786292,6.426084,0.000000,419.852604,1295.519872,26.123646,0.000000,68.084126,2.786292,16.468832,12.548021,122.056289,2.477884,194.494332,0.000000,0.600512,26.740311,4.248085,0.000000,7.898534,86.731804,1.637310,0.303108,15.797715,0.000000,1.152941,1.589515,3.603512,0.000000,0.000000,73.197007,5.775227,59.489846,4.540385,47.528484,32.222460,1593.391846,0.000000,0.358426,0.909323,23.982435,0.000000,25.598747,0.000000,39.475188,0.000000,0.000000,0.001270,0.119718,213.806574,0.000000,2.462564,370.783506,0.000000,1.588728,22.658741,0.445382,0.445382,0.000000,0.000000,279.568361,533.688484,141.831107,0.000000,0.530865,0.000000,0.213191,47.612525,1.265478,0.000000,0.000000,31.360000,1.609809,0.000000,2.873150,0.000000,168.708588,1.439613,0.197607,0.119715,514.981741,0.071461,147.464794,24.500488,0.082454,6.110769,3.303206,0.000000,0.000000,4.811286,8.552701,12976.253212,0.000000,0.298936,0.420000,0.000000,2.828223,0.000000,0.096676,0.091470,0.212465
