date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia,Ireland,Denmark,Kosovo
2024-09,0.000000,367.374724,0.000000,1.300000,0.866250,7.619562,6.676503,2.202312,0.000000,140.237500,0.000000,754.758038,5.645877,10.371724,0.000000,2.429947,1.411469,0.000000,368.223647,1087.339187,4.003586,0.000000,136.248125,2.429947,36.950791,5.211904,141.333598,1.712444,80.784505,0.000000,1.519028,20.836093,1.661922,0.000000,0.741293,234.256598,2.157718,0.755125,1.519382,33.939001,13.795553,15.099458,16.021964,0.000000,0.000000,93.998584,5.599086,114.524937,23.845974,164.748877,92.917591,2612.924708,0.000000,1.704924,2.265376,65.200573,0.000000,77.764336,0.000000,108.623989,0.000000,0.169565,1.426565,0.774899,441.446793,0.000000,1.934262,1037.981787,0.000000,0.632275,61.880765,0.267724,0.267724,0.000000,0.000000,300.493028,586.997351,402.370069,0.000000,23.239726,0.000000,2.214194,35.806920,0.720443,0.000000,0.000000,0.130000,2.207910,11.418333,24.701516,0.000000,251.979374,2.467467,1.277575,1.029230,2034.599061,1.853329,405.107552,25.227953,8.184381,48.873959,31.149255,0.000000,0.045000,13.162550,19.163934,13380.096536,0.000000,2.571144,75.898657,0.000000,5.672799,0.000000,0.814534,1.089564,3.532375
2024-10,1.300000,100.005621,0.000000,1.300000,0.145213,7.705040,18.659905,1.928618,0.000000,0.000000,0.000000,430.258597,6.686548,8.115322,0.000000,1.661515,1.671637,0.000000,453.842080,1641.736412,20.783952,0.000000,100.785833,1.661515,123.707412,3.141868,188.439404,1.458358,48.698948,0.000000,0.303969,34.131001,0.000491,0.000000,0.160371,350.195300,3.352460,0.153980,0.304522,3.034482,1.905456,6.723494,13.308505,0.000000,0.000000,163.313015,4.306003,136.774826,11.944440,5.443750,73.560678,3921.311377,0.000000,0.503788,0.461941,50.061267,0.000000,3.200827,0.000000,123.816388,0.000000,0.000000,0.940685,0.194271,279.965724,0.000000,9.660572,1187.477923,0.000000,0.913862,41.868244,0.208497,0.208497,0.000000,0.000000,253.589733,860.173106,491.882930,0.000000,26.332481,0.000000,9.091436,43.921390,0.468524,0.000000,0.000000,0.130000,1.152951,1.993333,3.426639,0.000000,249.206381,3.030541,0.479841,0.142777,1373.095318,1.087222,551.625162,0.303223,0.838779,30.548700,7.746667,0.000000,0.015000,11.390169,133.851942,12174.797726,0.000000,0.977017,1.928657,0.000000,9.527268,0.000000,0.269101,0.235901,1.053721
2024-11,2.600000,122.278153,0.000000,1.950000,1823.325000,2.968577,2.038451,0.765109,0.000000,14.023750,0.000000,262.441122,1.994453,12.916428,0.000000,0.712374,0.498613,0.000000,423.125033,1782.456729,5.869040,0.000000,105.318304,0.712374,8.818977,1.439279,111.622398,0.739169,22.308831,0.000000,1.116626,28.162386,0.000000,0.000000,0.554230,469.854851,3.954207,0.558539,1.109806,3.738226,3.824945,4.067688,23.084083,0.000000,0.000000,25.473148,0.571040,103.744855,26.173345,0.000000,73.601504,7045.838434,0.000000,3.629545,1.675616,120.764842,0.000000,0.120061,0.000000,80.698427,0.000000,0.179310,0.073940,0.213803,1675.907997,0.000000,2.505183,913.207057,0.000000,3.531275,40.110085,0.101123,0.101123,0.000000,0.000000,200.404751,1297.890195,363.710692,0.000000,79.147059,0.000000,0.100645,85.587545,0.407847,0.000000,0.000000,2.340000,1.110255,0.368333,4.192627,0.000000,654.544402,5.158063,0.507863,0.174693,925.456588,1.727915,505.380490,453.793554,0.783939,3.915141,13.741111,0.000000,0.137647,11.162771,65.055152,11909.041701,0.000000,0.142738,1.954328,0.000000,7.489312,0.000000,0.180090,0.091765,0.642353
2024-12,3.900000,45.947140,0.000000,0.650000,0.000000,5.232534,0.836713,1.189026,0.000000,0.000000,0.000000,315.886944,4.872750,13.271310,0.000000,1.154083,1.218188,0.000000,478.146593,1262.305957,7.996904,0.000000,157.073217,1.154083,12.814341,2.250662,93.569646,1.002711,34.885257,0.000000,0.265344,31.173926,0.519958,0.000000,0.132285,560.748807,1.725245,0.133416,0.265734,1.258243,0.175775,2.107899,2.020230,0.000000,0.000000,78.565050,21.549973,110.670210,15.079241,151.942184,102.402928,4042.030109,0.000000,2.320833,0.400249,256.708753,0.000000,3.656373,0.000000,56.128853,0.000000,2.108261,0.083895,0.095147,362.221139,0.000000,3.650424,667.089457,0.000000,1.419731,53.706906,0.106844,0.106844,0.000000,0.000000,283.467656,891.882239,489.622965,0.000000,4.242546,0.000000,3.220645,78.283600,0.246263,0.000000,0.000000,0.000000,2.983743,0.000000,2.238333,0.000000,291.227202,7.174075,0.460778,0.093264,1337.722272,1.233493,538.784400,2.409269,0.450984,4.926847,18.224550,0.000000,0.060000,5.557356,12.322424,13296.850424,0.000000,0.442103,3.340000,0.000000,7.953281,0.000000,0.366315,0.136725,1.629722
2025-01,5.200000,29.009938,0.000000,0.938889,76.164096,4.966791,0.106877,4.479798,0.000000,574.973750,0.000000,329.217769,13.878811,17.638064,0.000000,3.953857,3.469703,0.000000,522.490871,990.401668,17.531293,0.000000,125.025799,3.953857,26.062839,6.486235,149.339488,1.376734,100.536647,0.000000,0.360188,34.978735,0.000000,0.000000,0.178544,333.706055,2.636282,0.179974,0.360997,3.095161,0.447191,4.451688,1.866799,0.000000,0.000000,59.759412,125.671813,109.766479,18.968820,76.212500,48.836015,13902.754412,0.000000,0.958333,0.539922,46.397376,0.000000,15.744525,0.000000,101.474209,0.000000,0.206304,1.504682,0.146335,306.773562,0.000000,3.410219,959.562403,0.000000,0.417689,39.310230,0.341926,0.341926,0.000000,0.000000,181.711196,1623.383789,447.733179,0.000000,22.249799,0.000000,2.184000,134.893328,0.162066,0.000000,0.000000,0.000000,4.111871,1.906667,3.588818,0.000000,392.050917,3.619237,0.456006,0.149534,546.155582,1.223286,538.338587,4.341098,0.551232,7.792812,11.712222,0.000000,0.885000,5.184814,3.986667,15069.404438,0.000000,0.591448,0.000000,0.000000,6.967708,0.000000,0.389597,0.148677,0.171978
2025-02,6.500000,68.191207,0.000000,2.600000,18.986569,5.409249,0.700079,5.039632,0.000000,126.213750,0.000000,223.736280,15.625233,14.234565,0.000000,5.586980,3.906308,0.000000,482.426667,1752.983133,5.948882,0.000000,156.547314,5.586980,5.869312,8.193029,115.360497,1.370381,126.991944,0.000000,1.975722,87.581747,4.498929,0.000000,0.980365,408.586351,2.915313,0.998253,1.977582,1.333626,3.994688,7.198028,2.517297,0.000000,0.000000,144.548773,55.526192,129.763747,12.825962,33.060823,92.703107,12745.244662,0.000000,0.763258,2.994760,28.960842,0.000000,8.691890,0.000000,65.485942,0.000000,0.390000,0.456444,0.439814,463.176325,0.000000,3.654929,732.636675,0.000000,0.486434,31.983840,0.230331,0.230331,0.000000,0.000000,222.801625,875.374345,294.723454,0.000000,171.249256,0.000000,0.164211,64.653296,1.083653,0.000000,0.000000,0.260000,2.055169,0.780000,7.753923,0.000000,766.039910,7.050909,0.122207,0.323080,731.549030,0.415889,227.750324,10.207580,0.640285,12.553182,11.988889,0.000000,2.505000,7.046952,19.570909,18699.507799,0.000000,0.527161,0.477313,0.000000,6.211958,0.000000,0.233202,0.183717,0.551338
2025-03,7.800000,61.265431,0.000000,0.650000,361.725000,15.886793,1.517546,4.571563,0.000000,76.993137,0.000000,254.215908,23.464124,41.482142,0.000000,4.299830,5.866031,0.000000,564.821248,1410.004314,7.047674,0.000000,165.220049,4.299830,13.722099,10.901632,115.890123,2.990393,168.975295,0.000000,2.548269,30.221311,0.000000,0.000000,1.264005,308.033862,2.874422,1.273996,2.546952,6.213276,7.000336,5.852819,2.246874,0.000000,0.000000,61.609297,7.401890,239.461511,12.984632,85.120455,98.253352,4516.673622,0.000000,0.890648,3.821989,38.936360,0.000000,4.585282,0.000000,47.565934,0.000000,0.067241,0.740024,1.109375,314.968636,0.000000,2.465654,640.430513,0.000000,0.044379,47.094407,0.708674,0.708674,0.000000,0.000000,286.086720,1573.558109,253.113184,0.000000,74.562239,0.000000,1.610323,73.525158,4.733158,0.000000,0.000000,0.000000,3.749009,1.213333,19.785542,0.000000,269.016597,10.736841,1.511556,0.824398,785.824595,0.820659,234.392815,5.765278,0.730175,9.675976,67.200414,0.000000,1.935000,5.080365,14.350676,22365.539613,0.000000,2.399064,0.780000,0.000000,6.144950,0.000000,4.494145,1.140275,4.366530
2025-04,9.100000,22.527565,0.000000,1.300000,7.481250,15.994346,5.095081,4.636775,0.000000,6.990944,0.000000,1258.185159,18.553448,47.778936,0.000000,4.728402,4.638362,0.000000,492.923434,1841.855758,17.034335,0.000000,153.568152,4.728402,17.062581,8.607872,171.199937,3.406079,133.422016,0.000000,3.342567,58.516469,0.473571,0.000000,1.666245,385.984710,2.229764,1.671503,3.344182,2.056140,7.157647,5.871033,4.846894,0.000000,0.000000,92.071962,9.203445,126.627363,15.038981,13.361932,102.479757,2959.070129,0.000000,0.487500,5.014508,36.950539,0.000000,3.926280,0.000000,46.952751,0.000000,0.243043,4.876405,0.284007,302.526583,0.000000,0.736865,611.510941,0.000000,0.240755,53.039257,0.273350,0.273350,0.000000,0.000000,324.217177,1220.000088,246.277088,0.000000,29.363749,0.000000,0.000000,95.107229,3.124835,0.000000,0.000000,1.300000,4.097496,0.260000,4.736799,0.000000,617.931848,5.134523,0.658837,0.197367,1080.914975,1.047168,274.952690,9.866276,0.361470,17.924324,10.651667,0.000000,3.360000,4.895785,3.986667,17816.405641,0.000000,1.270689,3.218955,0.000000,8.251727,0.000000,0.440342,0.332743,1.348450
2025-05,10.400000,25.300016,0.000000,7.150000,3.428011,19.168064,1.244654,8.166929,0.000000,0.000000,0.000000,214.276102,26.554247,26.023083,0.000000,7.727736,6.638562,0.000000,594.357945,1521.757695,11.772073,0.000000,131.507772,7.727736,6.354557,12.339218,194.301706,4.097780,191.257881,0.000000,0.659141,29.240571,46.629460,0.000000,0.304816,206.519361,3.886017,0.319696,0.639742,8.441030,4.812730,15.317421,5.755509,0.000000,0.000000,86.527032,0.587399,107.723443,11.400968,0.000000,117.013931,3606.449745,0.000000,0.062500,0.959087,40.389750,0.000000,13.571046,0.000000,57.394167,0.000000,0.000000,0.004685,0.590191,387.008727,0.000000,3.497981,579.345553,0.000000,1.685357,26.847212,0.340244,0.340244,0.000000,0.000000,339.615940,1442.433462,555.404342,0.000000,17.205882,0.000000,0.603871,119.355328,1.392147,0.000000,0.000000,0.130000,4.302430,0.433333,1.212013,0.000000,249.996710,4.946804,0.626575,0.050501,918.212657,0.736258,197.647124,7.530405,0.313340,12.672553,0.954740,0.000000,2.085000,11.293648,36.967273,18518.206481,0.000000,0.058556,0.000000,0.000000,3.073453,0.000000,0.119133,0.011925,0.357954
2025-06,11.700000,32.713773,0.000000,2.600000,1.706250,19.704160,3.397555,11.087713,0.000000,504.855000,0.000000,269.383966,48.455061,57.128728,0.000000,11.312241,12.113765,0.000000,453.550184,1540.305661,9.339446,0.000000,159.707466,11.312241,8.862435,20.937456,239.663509,4.776931,324.530573,0.000000,26.413404,44.093070,45.778571,0.000000,13.117074,350.920177,4.135206,0.252031,26.411984,5.032498,4.343529,5.957784,1.785424,0.000000,0.000000,400.820384,2.087068,90.807231,23.246325,0.000000,104.556572,3701.571120,0.000000,2.094697,0.756092,46.742755,0.000000,8.303106,0.000000,63.576876,0.000000,0.000000,505.315583,0.342909,421.006095,0.000000,1.724466,607.254942,0.000000,2.950494,70.188563,0.753339,0.753339,0.000000,0.000000,268.439949,1316.845158,510.195685,0.000000,2.404110,0.000000,1.560000,101.667772,3.922810,0.000000,0.000000,0.390000,3.073411,0.000000,7.361813,0.000000,384.526357,6.624778,0.191531,0.306742,1101.385243,10.291018,367.449469,21.090474,0.133660,18.713347,0.000000,0.000000,4.921281,10.377607,2.072802,19059.411741,0.000000,0.202930,0.000000,0.000000,3.151455,0.000000,0.469229,0.078657,0.309124
