date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia,Ireland,Denmark,Kosovo
2024-11,31.209104,0.0,0.7,0.544634,4.355304,0.584193,1.541647,0.0,606.690681,0.0,68.140616,2.682489,7.110526,0.0,1.270019,0.670622,0.0,111.756709,430.689391,2.564198,0.0,42.961413,1.270019,23.23996,2.283744,68.118969,1.330658,35.398027,0.0,1.349571,7.732801,1.310877,0.0,0.999837,219.475067,1.161848,0.696824,1.241997,5.551315,5.465018,5.321656,8.257137,0.0,0.0,110.72549,4.774597,65.40703,8.421141,15.803879,32.438117,1408.710852,0.0,0.291667,2.907692,26.349287,0.0,0.0,0.0,22.860526,0.0,0.073043,0.373333,0.140843,218.609905,0.0,4.982865,426.599181,0.0,0.158954,29.3695,0.383761,0.383761,0.0,0.0,96.43374,410.196931,220.05302,0.0,1.294521,0.0,5.728258,16.959683,0.421424,0.0,0.0,0.07,1.325335,5.961667,10.704809,0.0,187.553423,1.540651,0.985757,0.446034,806.84738,0.428059,161.509937,13.23,0.522242,1.996846,82.678111,0.0,0.075269,4.618514,10.319042,3590.528287,0.0,0.99036,52.2375,0.0,3.081297,0.0,0.339082,0.464565,1.828097
2024-12,63.30817,0.0,0.7,0.0,4.34865,0.541616,0.592533,0.0,580.219808,0.0,31.477419,2.665399,4.718734,0.0,1.143963,0.66635,0.0,150.662515,442.909516,1.174256,0.0,53.132798,1.143963,11.86096,0.727927,144.053001,0.924922,11.282865,0.0,0.3985,18.476212,1.572973,0.0,0.146619,297.254651,1.805171,0.188966,1.229612,0.898435,0.971422,3.972635,9.938092,0.0,0.0,45.784497,10.66445,83.463558,15.341132,23.074025,48.758952,1889.495312,0.0,0.0,0.161538,23.12894,0.0,0.0,0.0,289.566667,0.0,0.0,0.0,0.130431,642.44474,0.0,1.401634,424.005078,0.0,0.361032,35.991558,0.033406,0.033406,0.0,0.0,139.320121,248.2414,176.059735,0.0,234.049315,0.0,0.359389,19.305499,0.504521,0.0,0.0,0.07,0.637273,0.186667,3.752756,0.0,107.460289,2.555908,0.112666,0.156365,733.87662,0.103218,149.136243,1.26,0.890994,2.714555,43.962804,0.0,0.215686,4.336967,72.074123,4563.140675,0.0,0.77458,0.753846,0.0,1.922747,0.0,0.206181,0.14206,0.537078
2025-01,70.661645,0.0,2.45,0.565385,1.698563,1.979648,0.106315,0.0,432.8362,0.0,310.735056,1.336491,7.168596,0.0,0.493998,0.334123,0.0,143.962755,923.172824,12.657307,0.0,45.462248,0.493998,245.15735,0.260532,92.775298,0.4478,4.038252,0.0,0.415818,17.491218,3.842716,0.0,0.230741,259.295005,2.129188,0.262964,0.468759,1.421699,1.615711,0.866033,9.237842,0.0,0.0,32.32012,1.442916,63.900124,25.869183,0.873179,29.729795,1122.131954,0.0,0.233333,2.423077,56.411547,0.0,0.0,0.0,403.680368,0.0,0.973241,5.016667,0.104544,188.565924,0.0,2.595098,384.796263,0.0,0.649021,24.271652,0.073673,0.073673,0.0,0.0,75.21546,360.072865,263.993007,0.0,0.64726,0.0,0.054194,19.094852,3.417991,0.0,0.0,1.26,1.038733,1.085,2.792289,0.0,343.571426,1.977102,0.324684,0.116345,547.282331,0.12259,138.280794,1.47,0.824874,2.918281,22.750394,0.0,0.015054,1.363872,35.029697,4228.594957,0.0,0.406661,2.598077,0.0,0.786976,0.0,0.08046,0.049746,0.604967
2025-02,12.679776,0.0,0.35,981.811436,3.358793,0.920751,0.724416,0.0,350.389674,0.0,79.772973,1.839934,8.255896,0.0,0.76875,0.459984,0.0,161.776027,507.850456,7.588006,0.0,78.379596,0.76875,121.226422,2.37416,86.107895,0.804495,36.799487,0.0,0.470879,31.911041,9.848649,0.0,0.183072,241.539415,0.928978,0.266444,0.381428,0.74525,0.089292,3.01283,1.35827,0.0,0.0,44.439652,12.019015,75.520386,7.709209,0.028424,30.243974,1447.968488,0.0,0.0,0.032308,130.937812,0.0,0.0,0.0,352.22844,0.0,0.040174,0.0,0.07871,172.545706,0.0,0.897084,429.78119,0.0,0.760172,59.096586,0.066904,0.066904,0.0,0.0,167.781091,318.384254,184.970824,0.0,45.178767,0.0,2.910194,34.558908,2.096764,0.0,0.0,0.0,2.250182,0.186667,1.64567,0.0,238.629038,3.930291,0.32561,0.06857,523.107676,0.070758,171.165511,0.42,0.842886,2.057075,12.40407,0.0,0.248387,6.58891,6.635152,3186.244963,0.0,0.449689,0.175,0.0,2.234684,0.0,0.021498,0.099471,0.214484
2025-03,15.773844,0.0,0.505556,0.117287,7.975487,0.560518,1.881178,0.0,577.889101,0.0,56.508258,1.836874,18.57636,0.0,2.112881,0.459219,0.0,235.083603,273.382837,3.856863,0.0,85.600374,2.112881,23.005729,4.360273,65.658367,2.126219,67.584225,0.0,0.662666,18.685776,5.740541,0.0,1.054928,237.716186,1.419537,0.291486,1.267333,5.699006,0.555129,2.787196,1.83637,0.0,0.0,99.799186,67.26456,53.451202,11.020054,52.373591,38.380706,308.61478,0.0,0.0,0.619231,15.602349,0.0,0.0,0.0,175.452965,0.0,0.43887,0.0,0.089412,273.617834,0.0,3.766623,366.683536,0.0,0.193386,43.146504,0.061874,0.061874,0.0,0.0,224.348444,396.418158,134.58419,0.0,0.0,0.0,0.0,40.483745,0.559615,0.0,0.0,0.0,2.200521,0.0,2.572564,0.0,188.660841,3.468505,0.1321,0.10719,935.691422,0.189956,173.997773,1.28625,0.659045,2.203741,16.488112,0.0,0.139733,0.963087,2.146667,3874.170474,0.0,0.108105,0.0,0.0,0.588312,0.0,0.073878,0.058402,0.253613
2025-04,19.53272,0.0,1.4,40.425,10.250718,0.314486,2.194399,0.0,2051.565741,0.0,822.902277,1.406151,20.272732,0.0,2.361879,0.351538,0.0,222.364485,692.313035,4.532318,0.0,71.745223,2.361879,11.922306,4.252379,41.084803,3.014104,65.911879,0.0,0.922525,14.454217,1.632432,0.0,0.095991,209.228615,1.569784,0.820623,0.521871,1.640981,2.782684,1.938488,1.012789,0.0,0.0,45.864919,34.67134,72.105076,8.256484,7.693495,42.209166,1657.245441,0.0,0.095926,1.453846,26.629244,0.0,0.0,0.0,50.507279,0.0,0.0,0.388889,0.125535,226.554015,0.0,0.999133,479.355845,0.0,0.084074,43.431586,0.22456,0.22456,0.0,0.0,237.33745,372.648788,158.912189,0.0,11.391781,0.0,0.088421,37.821836,1.419876,0.0,0.0,0.14,0.677356,1.026667,2.927163,0.0,430.133977,4.116746,0.033194,0.121965,533.649488,0.565236,145.885932,2.94,0.968864,3.297391,18.17231,0.0,0.030108,2.255395,10.538182,3568.238234,0.0,0.149928,0.175,0.0,1.076851,0.0,0.161018,0.067658,0.423881
2025-05,17.646761,0.0,0.7,10.10625,12.039531,0.545325,3.151098,0.0,1974.531392,0.0,99.516001,3.974796,14.570984,0.0,3.168882,0.993699,0.0,224.211072,1241.095836,2.221722,0.0,97.163987,3.168882,13.625104,4.792678,67.164813,3.137772,74.286517,0.0,0.172311,11.061909,2.2,0.0,0.107654,259.048734,1.547766,0.277122,0.093102,0.272299,3.277979,1.446312,0.615044,0.0,0.0,78.248143,3.16533,177.377419,1.863181,13.520465,21.826942,557.167398,0.0,0.0,0.441538,2.324543,0.0,0.0,0.0,274.326316,0.0,0.084966,0.0,0.498564,222.402981,0.0,1.422806,387.786281,0.0,0.007354,67.295154,0.49492,0.49492,0.0,0.0,164.512057,612.808942,155.238977,0.0,21.359589,0.0,0.867097,32.445785,1.331099,0.0,0.0,0.0,1.699389,0.42,14.968637,0.0,179.188215,4.321074,1.261503,0.623693,501.219382,0.43122,164.653407,0.426562,0.321402,1.254818,10.880163,0.0,0.185663,5.557464,7.727287,4056.5938,0.0,0.886334,0.525,0.0,2.914688,0.0,0.623919,2.139986,2.352708
2025-06,27.736853,0.0,0.7,196.047115,11.337621,0.219878,2.396409,0.0,2116.870943,0.0,102.301613,7.42892,36.738008,0.0,2.753044,1.85723,0.0,180.017304,1008.038629,6.2378,0.0,65.039096,2.753044,69.881417,4.925502,96.490287,2.792881,76.345279,0.0,1.712685,12.696036,2.458537,0.0,0.448843,266.460497,1.200642,0.352106,0.894861,3.485241,2.818001,1.946656,0.774195,0.0,0.0,80.515011,1.006493,96.638765,2.778291,9.305063,34.427025,1299.146721,0.0,0.0,0.0,5.569403,0.0,0.0,0.0,137.163158,0.0,0.048696,0.28,0.079243,231.72654,0.0,0.663783,465.034584,0.0,0.084524,52.603852,0.19128,0.19128,0.0,0.0,172.303075,351.633263,202.943242,0.0,0.0,0.0,0.0,32.368798,3.592816,0.0,0.0,0.7,2.816421,0.653333,2.062645,0.0,400.276388,2.972102,0.463845,0.085944,498.001055,0.173457,310.956592,1.05,0.147538,3.675948,48.853828,0.0,0.612729,4.853317,2.146667,3377.951769,0.0,0.574787,1.8375,0.0,1.234502,0.0,0.167438,0.272399,0.260062
2025-07,31.609765,0.0,4.55,2.764602,14.822176,0.447875,3.588645,0.0,2904.376788,0.0,129.930192,11.958339,3.993546,0.0,3.695176,2.989585,0.0,187.263373,844.811445,2.548532,0.0,70.398002,3.695176,179.761811,9.269939,138.094314,3.645865,143.684049,0.0,0.244782,17.572076,2.422222,0.0,0.053092,226.894189,2.092471,0.123842,0.962289,0.939013,2.039002,0.439124,3.42146,0.0,0.0,58.989215,2.804503,64.076823,3.230103,8.69911,35.161592,724.833223,0.0,0.0,11.630769,6.944658,0.0,0.0,0.0,342.907895,0.0,0.0,0.0,0.34206,314.426932,0.0,0.843013,449.904772,0.0,0.031706,45.206375,0.452319,0.452319,0.0,0.0,124.635082,272.211277,290.628497,0.0,1.941781,0.0,0.502003,51.334317,1.162794,0.0,0.0,0.105,2.021138,0.14,1.082487,0.0,271.936403,3.864464,0.133931,0.045104,490.969061,0.089434,159.163072,0.84,0.063433,3.219089,25.858591,0.0,0.118757,4.347957,19.905455,3877.637304,0.0,0.468824,0.0,0.0,0.839922,0.0,0.058573,0.021947,0.263806
2025-08,25.411476,0.0,2.1,1.8375,23.143454,0.207847,6.077831,0.0,3155.106708,0.0,131.046079,9.014055,39.397757,0.0,6.274999,2.253514,0.0,162.316434,921.498928,5.257371,0.0,52.168566,6.274999,152.258852,12.193266,115.734493,6.139205,188.995616,0.0,0.676464,17.916738,7.945946,0.0,0.328401,193.716373,2.226649,0.307519,0.804598,1.412693,2.248901,2.210994,3.603512,0.0,0.0,181.134656,1.854562,66.731793,2.123841,4.48895,35.531601,1328.272328,0.0,0.0,18.253846,9.606516,0.0,0.0,0.0,45.721053,0.0,0.0,0.038889,1.186046,882.613697,0.0,1.518047,520.13712,0.0,0.018386,58.729026,0.186813,0.186813,0.0,0.0,169.835261,325.812384,231.86052,0.0,2.589041,0.0,0.530526,44.095012,1.07135,0.0,0.0,0.21,1.611837,0.233333,52.982554,0.0,171.510987,2.100255,0.103721,2.207606,504.394599,1.108484,137.659083,0.0,0.228983,6.077062,3.078962,0.0,0.051852,7.782695,1.116124,3589.22492,0.0,0.253391,0.0,0.0,3.298264,0.0,0.16914,0.311477,0.596402
