date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia,Ireland
2025-03,0.000000,94.822656,0.000000,1.362325,0.899078,10.043303,1.444685,0.000000,0.000000,346.817581,0.000000,124.861037,0.325000,23.333967,0.000000,2.068862,0.000000,0.000000,213.355810,873.368734,33.900399,2.399320,48.909813,0.000000,44.412146,47.648469,155.081184,3.702920,0.000000,0.000000,1.608408,71.787074,0.349262,0.000000,0.000000,501.409237,1.335774,0.804313,0.789519,4.682031,13.715000,7.065653,0.088567,0.000000,0.000000,77.218492,5.033164,117.914723,6.708314,14.600694,34.745102,1248.219014,0.000000,1.212500,0.858000,93.675861,0.000000,0.000000,0.000000,219.633432,0.000000,0.068421,1.359367,0.996667,359.998353,0.000000,1.405360,477.447760,0.000000,2.347994,143.676969,0.000000,0.000000,0.000000,0.000000,210.401057,728.219673,425.091083,0.000000,112.320000,0.000000,0.866667,20.700547,0.000000,0.000000,0.000000,0.506988,3.510084,3.351081,1.818153,0.000000,446.895949,10.669720,7.697862,0.000000,203.605490,1.139400,379.921320,5.762562,0.458327,4.837100,2.704929,5.004621,0.600000,5.364700,6.872644,8242.302253,0.000000,0.000000,0.007002,0.791460,0.902558,0.000000,0.607575
2025-04,1.300000,59.036052,0.000000,0.078539,1619.800000,1.727463,0.755924,0.000000,0.000000,671.266512,0.000000,591.853318,0.650000,13.849356,0.000000,1.869627,0.000000,0.000000,165.855147,1169.187155,120.744986,2.301653,59.261140,0.000000,59.615097,10.159492,77.588500,0.819017,0.000000,0.000000,0.626463,78.128999,0.401962,0.000000,0.000000,511.206361,1.206927,0.300490,0.305288,1.886813,5.434820,1.364957,0.159376,0.000000,0.000000,170.604975,1.004292,190.960120,6.346135,1.066531,57.962306,469.819557,0.000000,0.425000,2.444000,110.781817,0.000000,0.000000,0.000000,2.312975,0.000000,1.409046,0.312000,0.000000,382.187311,0.000000,0.568087,428.938930,0.000000,2.359500,27.953308,0.000000,0.000000,0.000000,0.000000,362.799572,758.199627,451.133864,0.000000,41.850000,0.000000,0.000000,30.378654,0.000000,0.000000,0.000000,0.000000,0.929114,1.580427,0.693262,0.000000,393.887405,17.698092,0.576460,0.000000,801.919869,0.317778,569.448622,6.063329,0.027957,10.349483,4.613135,21.299406,0.753571,3.716201,48.199913,9676.950040,0.000000,0.000000,0.000000,0.310086,1.065510,0.000000,0.274297
2025-05,2.600000,42.978249,0.000000,0.482683,0.933333,3.013711,0.519465,0.000000,0.000000,265.678911,0.000000,45.848194,0.027660,51.326059,0.000000,0.169468,0.000000,0.000000,155.563997,679.363276,20.443821,1.044102,59.725482,0.000000,26.459636,59.703189,85.783868,0.666663,0.000000,0.000000,1.151970,31.098324,0.581396,0.000000,0.000000,278.320621,0.174841,0.588873,0.579110,3.479740,0.065000,0.974425,0.235945,0.000000,0.000000,139.081066,1.524292,274.008766,7.260406,43.115250,84.358793,736.606011,0.000000,2.950000,5.850000,5.603079,0.000000,0.000000,0.000000,145.717419,0.000000,2.567500,1.090395,0.000000,356.189794,0.000000,1.845799,437.491901,0.000000,0.543400,177.966936,0.000000,0.000000,0.000000,0.000000,98.676169,904.342038,289.105430,0.000000,42.399474,0.000000,0.000000,29.974148,0.000000,0.000000,0.000000,0.090671,1.045977,14.224283,0.271741,0.000000,355.069620,12.763892,0.231399,0.000000,337.556471,2.432947,389.003195,2.133900,0.000000,5.397056,1.502791,2.172538,0.814286,7.738889,23.233983,7962.481175,0.000000,0.000000,0.074686,0.178696,1.171629,0.000000,0.213302
2025-06,3.900000,84.416430,0.000000,2.115376,67.701418,6.698703,0.251584,0.000000,0.000000,638.717651,0.000000,148.628044,0.000000,31.249004,0.000000,1.759690,0.000000,0.000000,220.568275,958.588010,33.664118,1.968660,75.096518,0.000000,51.434449,32.183133,45.164895,1.094071,0.000000,0.000000,0.237150,48.129130,0.000000,0.000000,0.000000,351.355442,0.761094,0.118363,0.120633,0.729994,0.430405,2.734894,0.356296,0.000000,0.000000,130.624753,1.211200,150.352446,16.347469,33.763832,145.062477,802.997094,0.000000,2.232197,1.066000,27.653615,0.000000,0.000000,0.000000,222.045591,0.000000,0.390000,1.641158,0.158889,312.495526,0.000000,0.055145,356.265594,0.000000,2.146362,90.938501,0.000000,0.000000,0.000000,0.000000,76.882909,487.579685,369.954486,0.000000,119.250000,0.000000,62.400000,38.666582,0.000000,0.000000,0.000000,0.412300,0.377958,0.439329,0.520009,0.000000,359.604991,109.789773,0.153327,0.000000,391.136863,0.444551,212.513565,7.462715,13.000000,15.794124,6.407106,2.197419,0.400000,7.347043,6.724343,10653.311746,0.000000,0.000000,0.011670,3.639141,0.508283,0.000000,0.112666
2025-07,5.200000,104.177382,0.000000,0.018008,16.876950,4.540706,0.746967,0.000000,0.000000,648.556089,0.000000,1469.470197,0.000000,120.959360,0.000000,0.721588,0.000000,0.000000,193.323658,901.574886,7.700090,3.994302,70.673274,0.000000,268.860307,49.398868,102.216211,3.253797,0.000000,0.000000,1.521605,85.387755,0.546000,0.000000,0.000000,192.190985,0.178383,0.761109,0.754652,4.527952,0.000000,23.462308,0.115556,0.000000,0.000000,75.688972,2.744069,147.943454,7.858657,0.000000,41.148062,481.479284,0.000000,0.850000,5.850000,2.080545,0.000000,0.000000,0.000000,1578.027133,0.000000,0.034211,0.977881,0.905667,359.108335,0.000000,1.626837,516.142975,0.000000,0.228800,106.148960,0.000000,0.000000,0.000000,0.000000,350.152110,641.430934,287.492352,0.000000,44.820000,0.000000,0.000000,46.049511,0.000000,0.000000,0.000000,0.014640,0.605954,0.499945,0.468647,0.000000,342.585462,11.752505,0.242212,0.000000,485.795556,0.836522,159.146856,8.993687,1.733333,2.573896,14.902884,1.974225,0.246429,4.154266,5.085034,15568.102414,0.000000,0.000000,0.098025,0.400028,2.794536,0.000000,0.096183
2025-08,6.500000,46.467043,0.000000,0.747628,321.533333,4.040666,13.085414,0.000000,0.000000,292.543766,0.000000,184.815430,0.207447,72.084335,0.000000,1.945742,0.000000,0.000000,207.834807,1004.841586,29.549865,2.565213,60.503029,0.000000,30.657435,92.158394,52.244658,5.500315,0.000000,0.000000,1.016945,31.605392,0.032500,0.000000,0.000000,430.675063,0.756142,0.508210,0.503391,3.024937,0.000000,0.662636,0.019259,0.000000,0.000000,138.057945,4.690052,119.702769,9.544763,24.523251,54.710021,1819.342172,0.000000,1.078409,3.120000,14.405061,0.000000,0.000000,0.000000,19601.884122,0.000000,0.466404,0.564912,0.613889,456.621658,0.000000,0.893425,355.100287,0.000000,0.104867,46.160338,0.000000,0.000000,0.000000,0.000000,419.740799,692.100711,291.540543,0.000000,61.650000,0.000000,0.000000,26.278828,0.000000,0.000000,0.000000,0.160564,1.294982,0.396613,0.635549,0.000000,293.744090,39.103029,0.293987,0.000000,273.260000,0.385604,251.467795,17.341545,0.136467,8.105886,15.555030,1.335074,0.042857,3.575436,17.973284,10226.953580,0.000000,0.000000,0.501795,0.215311,1.116237,0.000000,0.177016
2025-09,7.800000,163.230212,0.000000,2.166354,4.550000,13.315167,5.824530,0.000000,0.000000,736.776717,0.000000,160.759677,0.041489,53.571837,0.000000,2.964914,0.000000,0.000000,161.575359,750.415680,23.561797,7.083397,78.685208,0.000000,64.163785,215.635557,41.812316,4.042966,0.000000,0.000000,1.476273,32.989469,0.000000,0.000000,0.000000,1095.692242,0.805019,0.738093,0.732220,4.391027,0.260000,12.168090,9.995394,0.000000,0.000000,125.541210,4.055416,159.013924,7.007440,60.515975,46.029702,1166.166224,0.000000,0.712500,0.000000,8.617900,0.000000,0.000000,0.000000,6354.898566,0.000000,0.148246,0.062246,0.050556,677.276915,0.000000,1.827229,334.870500,0.000000,0.176367,44.727575,0.000000,0.000000,0.000000,0.000000,308.842845,798.950903,222.735346,0.000000,169.200000,0.000000,0.666667,27.615588,0.000000,0.000000,0.000000,0.161036,2.922528,1.887066,2.063145,0.000000,256.512036,20.626198,2.295755,0.000000,375.062745,0.517488,189.607213,31.081853,0.083871,5.236975,0.000000,0.825252,0.207143,3.756595,16.404168,20561.809252,0.000000,0.000000,0.067241,0.313675,0.389525,0.000000,0.772053
2025-10,9.100000,42.625602,0.000000,0.001651,5.147121,14.295215,1.821641,0.000000,0.000000,1410.080795,0.000000,189.988710,0.975000,72.517616,0.000000,3.683936,0.000000,0.000000,193.974985,682.478784,25.464468,6.871918,79.547487,0.000000,43.537854,173.399481,66.086658,4.672847,0.000000,0.000000,1.022204,85.369400,0.130000,0.000000,0.000000,536.290502,3.360433,0.512840,0.508208,3.037742,0.000000,4.200626,1.859394,0.000000,0.000000,69.694988,2.833823,138.626436,5.243019,49.060408,47.318304,997.281843,0.000000,0.487500,0.884000,5.552092,0.000000,0.000000,0.000000,336.537849,0.000000,0.086239,0.696800,1.421333,679.905262,0.000000,0.707345,348.754432,0.000000,2.099376,141.323273,0.000000,0.000000,0.000000,0.000000,472.637282,1088.201702,458.473967,0.000000,40.500000,0.000000,0.000000,36.600050,0.000000,0.000000,0.000000,0.762442,1.998367,1.409188,0.601904,0.000000,129.806306,29.042266,0.660716,0.000000,325.054379,0.780000,162.531515,18.460503,0.000000,6.041853,11.285182,1.612657,0.139286,3.264216,2.188842,10620.630813,0.000000,0.000000,0.116697,0.373083,0.118758,0.000000,0.490486
2025-11,10.400000,126.134079,0.000000,0.030179,1.516667,18.639475,0.235771,0.000000,0.000000,2317.836095,0.000000,241.617753,1.300000,59.366129,0.000000,4.858853,0.000000,0.000000,148.987191,635.929717,11.007714,8.581429,62.078688,0.000000,39.732339,168.624936,54.403237,7.567409,0.000000,0.000000,0.141368,73.777511,0.344500,0.000000,0.000000,319.482632,0.345096,0.084898,0.070122,0.430158,0.000000,1.261423,0.473752,0.000000,0.000000,50.995995,10.396409,125.836900,2.980894,14.753673,43.867574,1307.387653,0.000000,0.298864,35.958000,5.709851,0.000000,0.000000,0.000000,154.969319,0.000000,2.911031,0.881833,0.130000,779.253487,0.000000,1.787921,351.112753,0.000000,3.332511,53.951526,0.000000,0.000000,0.000000,0.000000,247.890713,1068.611271,210.145156,0.000000,54.450000,0.000000,1.300000,36.463651,0.000000,0.000000,0.000000,0.081199,1.033844,0.192338,0.102470,0.000000,190.637300,18.654012,0.017524,0.000000,662.610850,1.402605,174.870757,8.881530,0.630856,6.435846,4.563000,2.031775,0.067857,1.771860,22.965863,8612.033548,0.000000,0.000000,0.000000,0.282024,0.275518,0.000000,0.271428
2025-12,11.700000,89.503652,0.000000,0.010833,5.184242,18.639768,0.760591,0.000000,0.000000,1941.292348,0.000000,264.254312,0.000000,35.881659,0.000000,5.028007,0.000000,0.000000,163.909349,619.597962,6.609077,8.279431,55.710909,0.000000,104.365367,217.432384,82.429158,10.734421,0.000000,0.000000,28.428305,60.617670,0.084950,0.000000,0.000000,263.735101,0.518143,14.184877,0.259722,1.469880,0.075964,0.452718,0.471852,0.000000,0.000000,137.321294,15.992377,110.572047,1.035792,21.568868,46.765100,429.060056,0.000000,2.075000,34.320000,11.960618,0.000000,0.000000,0.000000,4806.940108,0.000000,1.595779,0.810333,1.509444,728.262855,0.000000,2.597548,365.858791,0.000000,0.538633,179.057926,0.000000,0.000000,0.000000,0.000000,226.138603,2588.901665,239.114404,0.000000,95.542105,0.000000,2.800000,47.736347,0.000000,0.000000,0.000000,0.455846,0.703229,0.488861,0.310899,0.000000,312.992018,6.601749,0.179490,0.000000,98.230719,0.616715,125.652872,6.822028,0.000000,3.190788,7.863337,1.332278,0.571429,4.317449,0.711905,7160.518182,0.000000,0.000000,0.190731,0.190138,0.009501,0.000000,3.511016
