date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia,Ireland
2025-04,79.35533,0.0,1.138295,0.39,6.818333,1.094934,0.0,0.0,472.807845,0.0,124.861037,0.04633,15.122694,0.0,0.776328,0.0,0.0,213.35581,698.827688,33.900399,6.922608,65.514631,0.0,49.352752,82.002517,67.785132,1.902014,0.0,0.0,1.200006,81.065483,0.392994,0.0,0.0,756.686292,0.737753,0.600018,0.600018,3.585447,10.248707,3.481576,0.095263,0.0,0.0,232.189648,5.091973,122.499695,19.378042,17.034143,37.959314,637.002872,0.0,0.865,7.366667,95.250861,0.0,0.0,0.0,217.419642,0.0,0.002167,1.113185,0.0151,439.987633,0.0,1.04,577.465505,0.0,2.347994,110.303198,0.0,1.720212,0.0,0.0,275.345961,1315.864689,395.803995,0.0,112.32,0.0,0.0,20.197271,0.0,0.0,0.0,0.344032,0.0,2.62142,1.310461,0.0,397.075608,23.794194,1.297397,0.0,1003.083754,0.084674,550.319159,4.623119,0.0,3.266714,15.224902,2.794034,0.646429,4.989396,6.872644,8442.901816,0.0,0.0,0.007002,0.703984,1.71786,0.0,0.655569
2025-05,60.319285,0.0,0.440568,0.0,5.989965,1.682334,0.0,0.0,755.617465,0.0,591.853318,173.6,11.779816,0.0,0.962094,0.0,0.0,165.855147,976.927285,120.744986,2.691586,55.233752,0.0,52.590245,32.058841,88.483947,1.195753,0.0,0.0,0.872849,60.317381,0.030033,0.0,0.0,378.803264,0.004556,0.426906,0.426906,2.646558,6.880661,2.541894,0.20959,0.0,0.0,318.133883,0.0,197.409043,10.451242,31.107143,29.620089,7011.875082,0.0,0.0,0.086667,110.461911,0.0,0.0,0.0,2.312975,0.0,1.343875,0.0,1.720211,285.416244,0.0,0.0,446.984501,0.0,2.3595,10.691013,0.0,3.000916,0.0,0.0,436.745399,1137.865149,397.733994,0.0,0.0,0.0,0.08775,21.415768,0.0,0.0,0.0,0.294714,1.625,0.875345,0.419186,0.0,423.554197,15.711118,0.327379,0.0,1176.690105,0.766184,262.601483,2.192211,0.0,11.350413,25.958333,1.82886,0.707143,3.419157,48.199913,9099.36705,0.0,0.0,0.0,0.325383,2.132967,0.0,0.168638
2025-06,39.788839,0.0,0.141349,2084.444681,2.964334,0.364937,0.0,0.0,439.490129,0.0,45.848194,0.0,25.219439,0.0,0.446957,0.0,0.0,155.563997,572.103268,20.443821,0.72351,50.335727,0.0,24.378495,24.711007,103.22648,0.596844,0.0,0.0,0.567966,84.462276,1.512662,0.0,0.0,398.775837,0.498132,0.292609,0.291954,1.708005,15.352328,2.671476,0.179035,0.0,0.0,77.468966,0.0,356.054141,16.234708,32.881124,84.834647,667.638558,0.0,0.055758,7.077778,7.60853,0.0,0.0,0.0,145.717419,0.0,0.902417,0.417105,1.579819,249.563441,0.0,0.0,1080.228071,0.0,0.5434,113.521034,0.0,0.831929,0.0,0.0,113.619817,1015.101698,254.662024,0.0,70.299474,0.0,0.754,30.955269,0.0,0.0,0.0,0.01464,4.875,0.984279,0.407535,0.0,440.160387,13.915541,0.369362,0.0,1138.908756,0.543237,123.679622,26.360511,26.0,7.186998,22.090316,1.970951,0.814286,7.0971,23.233983,9325.952316,0.0,0.0,0.074686,0.331052,2.919905,0.0,0.161361
2025-07,89.810033,0.0,2.31871,0.248936,6.466409,2.007246,0.0,0.0,146.907661,0.0,148.628044,7.353723,6.586176,0.0,0.971298,0.0,0.0,220.568275,930.023927,33.664118,3.242327,65.182686,0.0,42.862041,55.386267,95.834342,0.932544,0.0,0.0,0.365195,64.801655,0.065,0.0,0.0,360.721728,0.402074,0.181124,0.181779,1.064206,6.991983,2.33227,0.356296,0.0,0.0,68.500991,7.386232,166.937754,18.01451,7.039709,116.85574,2208.619466,0.0,0.04,0.433333,7.959183,0.0,0.0,0.0,222.045591,0.0,0.391083,1.101287,3.529039,265.75887,0.0,0.26,642.837232,0.0,1.124933,20.738501,0.0,0.660874,0.0,0.0,96.640106,934.308806,355.938494,0.0,13.95,0.0,0.38675,32.785851,0.0,0.0,0.0,0.508138,4.875,0.776614,0.416158,0.0,365.444776,62.466524,0.164866,0.0,795.023206,0.395652,336.016305,1.792055,3.466667,12.278248,16.434491,1.20235,0.539286,6.746356,6.724343,12719.744018,0.0,0.0,0.01167,0.243353,2.189317,0.0,0.094233
2025-08,103.455542,0.0,0.496439,87.0,2.99167,1.193115,0.0,0.0,753.530209,0.0,1469.470197,1.809722,30.958918,0.0,1.316642,0.0,0.0,193.323658,947.128566,7.70009,6.804173,63.971466,0.0,224.283136,166.412097,84.607138,0.75951,0.0,0.0,1.773545,59.101268,0.086667,0.0,0.0,433.121378,0.85091,0.886758,0.886496,5.322436,5.649957,16.141511,0.115556,0.0,0.0,82.546222,0.46867,182.775979,6.840761,49.771429,52.19823,596.425039,0.0,0.472727,0.751111,7.030545,0.0,0.0,0.0,1578.027133,0.0,0.0,2.624867,1.514069,397.585379,0.0,2.08,373.204234,0.0,0.2288,40.552239,0.0,0.550969,0.0,0.0,428.386465,723.133111,308.59928,0.0,126.27,0.0,0.2015,30.757626,0.0,0.0,0.0,0.161036,0.8125,0.479996,0.563644,0.0,318.860079,6.52917,0.147906,0.0,1139.422648,0.157005,278.357814,1.771846,0.226087,12.383472,14.635218,1.48164,0.107143,4.890144,5.085034,9319.94473,0.0,0.0,0.165267,0.404124,3.517381,0.0,0.184196
2025-09,49.40614,0.0,0.366975,21.45,6.126439,0.431085,0.0,0.0,1378.177555,0.0,184.81543,34.45,4.012721,0.0,0.431191,0.0,0.0,207.834807,780.828661,29.549865,9.658617,69.927988,0.0,27.178021,193.725944,111.894309,1.710697,0.0,0.0,1.522715,30.377322,0.036111,0.0,0.0,780.801408,0.528765,0.762419,0.761104,4.572895,1.779095,1.162788,0.019259,0.0,0.0,46.918409,0.0,151.860161,8.23474,78.381888,60.019166,2650.23577,0.0,0.42,3.9,11.916554,0.0,0.0,0.0,19601.884122,0.0,0.00975,0.772125,3.004684,440.192173,0.0,0.40625,340.778309,0.0,0.104867,12.786567,0.0,0.708736,0.0,0.0,542.78415,1616.19861,261.491999,0.0,37.8,0.0,13.40681,24.147729,0.0,0.0,0.0,0.046502,1.625,1.032673,0.689009,0.0,356.669208,21.723905,0.262298,0.0,1172.098989,0.739005,282.749325,1.677399,0.0,3.210323,30.352441,2.188833,0.228571,3.209553,17.973284,9183.159212,0.0,0.0,0.501795,0.210475,2.519901,0.0,0.288161
2025-10,164.518429,0.0,2.068577,413.4,11.730586,0.336816,0.0,0.0,2146.065681,0.0,160.759677,0.880455,5.644729,0.0,1.848427,0.0,0.0,161.575359,651.302374,23.561797,11.357557,72.530118,0.0,63.949412,262.240003,106.525395,1.298219,0.0,0.0,0.344415,36.111378,0.0,0.0,0.0,531.513188,1.085485,0.171888,0.172738,1.031061,8.607457,8.212463,0.777212,0.0,0.0,34.931582,0.0,193.072186,7.420927,3.410542,50.946304,1533.992639,0.0,0.02,0.0,9.055459,0.0,0.0,0.0,6354.898566,0.0,0.86775,0.069162,4.226442,711.678955,0.0,0.065,323.920154,0.0,1.197795,22.862001,0.0,0.641625,0.0,0.0,287.051683,804.15759,206.357041,0.0,61.65,0.0,3.225345,23.039524,0.0,0.0,0.0,0.773477,14.625,1.729149,0.930461,0.0,273.441182,11.458999,0.347401,0.0,953.13122,0.0,392.899643,3.209343,0.0,13.861473,15.251503,3.11674,0.160714,3.07194,16.404168,15078.039019,0.0,0.0,0.0,3.870708,2.280689,0.0,0.394761
2025-11,60.816376,0.0,0.001651,5.85,14.153487,0.685691,0.0,0.0,1810.530395,0.0,189.98871,0.326477,1.483544,0.0,3.763915,0.0,0.0,193.974985,559.506591,25.464468,9.537474,59.682686,0.0,51.768053,225.888994,165.989342,3.909929,0.0,0.0,0.334292,75.208792,0.144444,0.0,0.0,410.446507,0.588919,0.167236,0.167964,1.000434,1.974655,1.864708,9.304848,0.0,0.0,39.031941,0.387113,164.001033,9.754951,0.0,56.570411,1427.507382,0.0,0.474091,10.833333,11.177447,0.0,0.0,0.0,336.537849,0.0,0.051458,0.774222,2.574364,646.262373,0.0,0.0,364.466413,0.0,1.997233,84.933109,0.0,1.01269,0.0,0.0,581.744482,980.723828,469.558052,0.0,169.2,0.0,5.695345,26.033433,0.0,0.0,0.0,0.044218,0.0,15.716941,0.811166,0.0,164.555562,24.404373,1.398904,0.0,964.458901,1.661111,309.622597,2.757523,1.205797,3.803164,47.534724,2.390163,0.046429,2.642173,2.188842,8874.572888,0.0,0.0,0.116697,0.306798,1.253456,0.0,0.358921
2025-12,117.739348,0.0,0.030179,3.9,19.760222,0.689215,0.0,0.0,1872.750003,0.0,241.617753,0.388977,7.491603,0.0,6.05176,0.0,0.0,148.987191,540.063146,11.007714,12.964474,50.346368,0.0,90.631598,280.946747,96.935362,5.56578,0.0,0.0,0.295085,72.402708,0.382778,0.0,0.0,248.781178,0.472693,0.146044,0.145559,0.886252,4.59875,1.496249,2.24648,0.0,0.0,121.235022,0.052349,154.534338,7.882868,12.702083,32.627871,847.604634,0.0,0.0,0.548889,4.647055,0.0,0.0,0.0,154.969319,0.0,2.95425,3.601481,1.313966,626.499829,0.0,0.0,338.173786,0.0,3.281439,36.689231,0.0,0.37404,0.0,0.0,172.139694,994.083392,208.983985,0.0,40.5,0.0,1.025207,32.85354,0.0,0.0,0.0,0.229891,3.25,0.68445,0.404865,0.0,223.264974,16.518313,0.345295,0.0,832.800705,0.45212,368.126271,0.884573,0.0,7.549892,9.644595,1.297057,0.207143,2.564906,22.965863,7461.515584,0.0,0.0,0.0,0.209722,1.544699,0.0,0.163248
2026-01,78.497298,0.0,0.024428,4.65,19.075703,8.781739,0.0,0.0,2618.500105,0.0,264.254312,1.17,6.922639,0.0,4.424136,0.0,0.0,163.909349,543.672982,6.609077,22.696359,148.481832,0.0,93.375334,499.161194,100.838224,4.33863,0.0,0.0,0.39407,31.546677,0.094389,0.0,0.0,407.373218,0.886157,0.199023,0.198416,1.188751,2.182356,1.011315,0.471852,0.0,0.0,19.936333,0.052349,141.033323,11.008058,81.934215,42.014885,1164.712887,0.0,0.925,67.903333,11.590949,0.0,0.0,0.0,4806.940108,0.0,1.648292,5.074815,0.382502,714.98378,0.0,0.0,367.40231,0.0,0.538633,143.382516,0.0,1.202016,0.0,0.0,289.113809,968.160933,463.390259,0.0,59.992105,0.0,5.120095,32.26486,0.0,0.0,0.0,0.205398,5.6875,0.360636,0.347104,0.0,373.046004,3.667638,0.232447,0.0,1238.238863,0.583787,525.850479,1.055411,0.97971,4.646112,13.782274,1.707503,0.478571,3.94132,0.711905,7528.342524,0.0,0.0,0.009336,0.164951,0.816397,0.0,3.597127
