date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe
2026-03,0.000000,29.714286,0.000000,8.612500,2.760038,3.678433,0.000000,0.000000,0.000000,1.526572,0.000000,100.718791,0.381643,2.709778,0.000000,0.000000,0.000000,0.000000,40.671168,230.994169,15.296726,10.780142,32.103033,0.000000,41.740441,2.695437,0.000000,198.304021,0.000000,0.000000,0.000000,32.981941,495.079236,23.596168,1.064450,0.000000,0.000000,2807.760892,0.959805,0.000000,0.000000,2.169078,1.803130,2.140817,1.296665,0.000000,0.000000,276.406149,2.683871,66.173951,35.804926,3856.804483,12.755983,1506.860961,0.000000,7.271875,0.499465,0.000000,5.526211,0.124441,0.000000,0.000000,17.465477,2445.767422,0.000000,0.302175,1.688830,0.000000,2.280757,100.225011,0.167382,1.409932,277.226803,0.000000,6.876641,76.285110,185.158912,0.000000,0.581916,0.000000,0.000000,116.792116,1247.033502,0.000000,570.915920,0.000000,8.739041,0.000000,0.082105,6.649718,0.000000,1.333022,0.000000,28.038507,7.892629,0.071429,0.000000,0.000000,0.000000,0.000000,588.610186,5.067857,32.306285,0.000000,0.000000,1487.405186,0.548051,6211.802573,0.000000,0.203949,4.951479,2.193977,8.010015,4.862918,2.708333,14.107594,8840.469811,1.739929,0.000000,1.073548,1.336330,2.304494,130.974095,0.000000,0.000000
2026-04,1.300000,24.743333,0.000000,4.143750,2.324372,3.126281,0.000000,0.000000,0.000000,8.057427,0.000000,212.687881,2.014357,10.452000,0.000000,0.000000,0.000000,0.000000,35.977432,284.711720,6.957581,10.929382,36.807811,0.000000,43.956532,31.211054,0.000000,255.452341,0.000000,0.000000,0.000000,22.459976,566.810528,12.049074,0.518194,0.000000,0.000000,731.569413,0.696429,0.000000,0.000000,1.568427,0.029963,1.303383,0.159124,0.000000,0.000000,85.215004,1.834269,38.382317,40.822519,2912.213317,17.084536,846.479397,0.000000,0.000000,1.094239,0.000000,15.985535,0.676252,0.000000,0.000000,1.880213,833.550012,0.000000,0.037097,4.604348,0.000000,0.063582,112.460009,0.150955,0.209522,372.395433,0.000000,0.097699,95.625143,176.442135,0.000000,0.084370,0.000000,0.000000,250.570647,839.286840,0.000000,432.733941,0.000000,9.916303,0.000000,0.000000,6.679551,0.000000,3.107367,0.000000,21.914422,2.801325,0.413866,0.000000,0.000000,0.000000,0.000000,498.132925,8.603571,26.946968,0.000000,0.000000,860.828757,0.140294,422.952669,1.058571,0.520016,1.358598,0.075403,11.301651,3.243686,0.270833,18.150697,11830.137695,2.411912,0.000000,1.370691,0.851578,2.947472,109.071246,0.000000,0.000000
2026-05,2.600000,46.434762,0.000000,9.831250,5.540534,3.936620,0.000000,0.000000,0.000000,1.410004,0.000000,150.596875,0.352501,0.774222,0.000000,0.000000,0.000000,0.000000,40.743840,415.958133,7.090407,57.031169,41.756279,0.000000,60.813010,13.771230,0.000000,245.011345,0.000000,0.000000,0.000000,3.801885,431.672601,42.086966,0.000000,0.000000,0.000000,1869.037659,0.557143,0.000000,0.000000,1.414969,0.000000,1.762279,0.702221,0.000000,0.000000,141.129516,0.119816,79.463645,22.065743,3213.015258,24.712591,688.099075,0.000000,2.843750,0.169271,0.000000,16.070247,0.042431,0.000000,0.000000,4.701257,31.290466,0.000000,0.429000,2.597802,0.000000,1.809482,85.776581,0.088679,0.482704,843.529918,0.000000,0.474540,102.341626,170.067883,0.000000,0.457700,0.000000,0.000000,139.113138,1048.588864,0.000000,308.234665,0.000000,8.091062,0.000000,0.000000,6.094162,0.000000,0.348581,0.000000,56.487851,0.223943,1.357143,0.000000,0.000000,0.000000,0.000000,327.285640,7.823291,30.269537,0.000000,0.000000,1565.071223,0.046167,504.806223,0.000000,0.206824,3.357434,0.249573,5.311573,4.398611,0.541667,14.813534,9596.780166,1.918330,0.000000,0.167742,0.556792,1.429494,101.721537,0.000000,0.000000
2026-06,3.900000,27.906667,0.000000,0.731250,4.548664,1.542485,0.000000,0.000000,0.000000,3.748858,0.000000,54.869458,0.937214,1.451667,0.000000,0.000000,0.000000,0.000000,34.485336,357.386915,4.647306,20.057143,32.672393,0.000000,42.897568,36.489909,0.000000,163.158242,0.000000,0.000000,0.000000,14.099369,1007.203120,5.359208,0.000000,0.000000,0.000000,2564.468747,0.208929,0.000000,0.000000,0.641968,0.734089,2.392066,0.082149,0.000000,0.000000,81.960074,4.942396,59.812538,21.528389,3128.663524,40.835402,1359.414390,0.000000,0.000000,0.000000,0.000000,5.466578,0.051793,0.000000,0.000000,12.040202,25.056329,0.000000,0.098800,2.781307,0.000000,2.724935,152.063027,0.170227,0.204459,480.213637,0.000000,1.592500,78.000089,184.582662,0.000000,0.174894,0.000000,0.000000,218.374305,1243.215823,0.000000,330.849394,0.000000,15.628188,0.000000,2.894553,6.780712,0.000000,1.644511,0.000000,1942.521669,0.114756,0.357143,0.000000,0.000000,0.000000,0.000000,291.123308,25.772276,60.196855,0.000000,0.000000,371.219171,0.188060,245.982029,2.451429,0.092857,0.438258,0.636059,3.933368,2.204515,0.541667,12.224675,6914.380946,3.643648,0.000000,0.413763,0.185714,1.372472,74.764397,0.000000,0.000000
2026-07,5.200000,185.621429,0.000000,8.531250,2.313014,2.503814,0.000000,0.000000,0.000000,2.208729,0.000000,131.541207,0.552182,40.453111,0.000000,0.000000,0.000000,0.000000,40.102350,394.016745,5.331821,14.485714,33.096107,0.000000,77.956694,17.488832,0.000000,299.972019,0.000000,0.000000,0.000000,40.236873,776.650538,17.990856,0.000000,0.000000,0.000000,814.404536,0.738013,0.000000,0.000000,0.216473,0.044944,1.383792,0.506826,0.000000,0.000000,21.903323,2.546083,55.016239,22.209817,2746.101957,42.887109,884.664839,0.000000,59.271875,0.081134,0.000000,7.103600,0.109736,0.000000,0.000000,1.312634,39.164943,0.000000,0.205575,5.926046,0.000000,0.913258,180.611154,0.005628,2.069439,717.967612,0.000000,0.000000,152.156992,372.976827,0.000000,0.072244,0.000000,0.000000,152.073681,1053.325848,0.000000,391.532725,0.000000,11.135168,0.000000,0.000000,10.799348,0.000000,0.157555,0.000000,223.500730,0.565705,0.281746,0.000000,0.000000,0.000000,0.000000,240.974122,32.987736,100.102461,0.000000,0.000000,709.924978,0.852787,288.339004,77.805000,0.468727,0.513564,0.188507,4.166491,2.029961,40.836957,9.664418,6427.924687,3.227925,0.000000,0.067097,0.370357,7.501404,80.072180,0.000000,0.000000
2026-08,6.500000,40.560000,0.000000,0.000000,2.241950,0.868583,0.000000,0.000000,0.000000,4.283233,0.000000,220.868286,1.070808,0.000000,0.000000,0.000000,0.000000,0.000000,38.730425,236.318411,7.761974,5.976623,49.487031,0.000000,60.870613,7.015136,0.000000,176.482434,0.000000,0.000000,0.000000,62.693977,385.859625,17.848791,0.352083,0.000000,0.000000,1796.785356,1.539836,0.000000,0.000000,2.549060,0.059926,3.927054,0.336978,0.000000,0.000000,50.604906,12.191244,91.911770,11.747379,14445.860931,34.761763,1132.311054,0.000000,1.746875,0.010943,0.000000,6.589405,0.038845,0.000000,0.000000,1.310633,37.981434,0.000000,0.041600,3.199729,0.000000,1.504742,117.705264,0.322101,8.486079,462.223134,0.000000,0.000000,112.377379,291.364046,0.000000,1.097420,0.000000,0.000000,67.051901,1120.552157,0.000000,323.609306,0.000000,5.866342,0.000000,0.325000,1.437591,0.000000,0.182873,0.000000,35.104758,0.117092,0.071429,0.000000,0.000000,0.000000,0.000000,325.076726,48.262500,26.364393,0.000000,0.000000,2229.097674,0.796567,192.311161,0.000000,0.141914,2.066424,0.199453,4.006662,1.320829,1.401268,5.329238,8274.232541,8.936994,0.000000,0.100645,0.190970,9.048876,98.877165,0.000000,0.000000
2026-09,7.800000,8.926667,0.000000,4.875000,1.016675,1.541882,0.000000,0.000000,0.000000,20.385518,0.000000,1219.167828,5.096379,3.484000,0.000000,0.000000,0.000000,0.000000,30.734017,401.098093,6.844575,0.000000,54.725144,0.000000,57.800205,3.759609,0.000000,171.176015,0.000000,0.000000,0.000000,51.891359,506.387398,30.161304,0.000000,0.000000,0.000000,170.762927,1.596362,0.000000,0.000000,3.019975,0.000000,15.982543,0.549993,0.000000,0.000000,84.371974,3.629870,121.164987,13.516583,11406.101138,31.131273,1450.086601,0.000000,0.000000,1.473197,0.000000,5.907407,0.018443,0.000000,0.000000,4.120010,23.707087,0.000000,0.022885,4.018159,0.000000,0.390338,164.539169,0.972437,7.161088,659.498670,0.000000,1.298006,85.230433,382.446919,0.000000,1.460914,0.000000,0.000000,59.013927,1047.025228,0.000000,249.569470,0.000000,11.912746,0.000000,0.000000,40.935308,0.000000,2.555481,0.000000,57.716764,1.131552,0.345238,0.000000,0.000000,0.000000,0.000000,319.527736,14.203431,58.951519,0.000000,0.000000,1852.995105,1.181920,672.043651,0.000000,0.282353,0.262955,0.146027,3.232874,0.607196,0.270833,18.631745,9225.723847,12.176309,0.000000,0.033548,0.163700,8.382303,116.272445,0.000000,0.000000
2026-10,9.100000,43.271429,0.000000,0.731250,0.029576,0.165240,0.000000,0.000000,0.000000,4.030406,0.000000,14.285870,1.007601,8.226111,0.000000,0.000000,0.000000,0.000000,33.529716,218.561075,14.246572,3.609980,32.436431,0.000000,102.990782,10.179649,0.000000,180.511009,0.000000,0.000000,0.000000,62.087258,657.362043,71.411728,0.297917,0.000000,0.000000,2134.784173,0.565017,0.000000,0.000000,0.514422,0.074907,1.091133,0.870706,0.000000,0.000000,141.002972,1.485714,53.161391,13.303341,6039.123800,39.649972,942.575759,0.000000,1.625000,1.032039,0.000000,6.820456,0.495269,0.000000,0.000000,0.801534,22.952786,0.000000,0.346219,5.513029,0.000000,0.923743,129.876497,2.953996,2.578656,378.634333,0.000000,0.432669,86.388374,175.339070,0.000000,0.821543,0.000000,0.000000,173.745082,1171.746368,0.000000,257.030659,0.000000,6.720161,0.000000,0.082105,4.996792,0.000000,1.729482,0.000000,28.038507,0.535269,0.000000,0.000000,0.000000,0.000000,0.000000,236.133392,15.573047,74.821287,0.000000,0.000000,600.825373,1.286740,410.426882,0.000000,0.201498,0.576525,0.178949,5.567034,3.365710,1.354167,13.496148,13126.194916,5.897881,0.000000,0.000000,0.936874,9.078371,52.595412,0.000000,0.000000
2026-11,10.400000,8.926667,0.000000,2.925000,1.707604,2.493468,0.000000,0.000000,0.000000,5.250363,0.000000,7.273145,1.312591,8.516444,0.000000,0.000000,0.000000,0.000000,29.057961,609.843610,7.404282,0.000000,34.292555,0.000000,58.574553,45.465363,0.000000,137.015481,0.000000,0.000000,0.000000,77.459165,409.766695,9.864352,0.267222,0.000000,0.000000,310.737676,3.968295,0.000000,0.000000,0.214602,0.404498,1.036688,0.586946,0.000000,0.000000,64.331897,0.557143,28.470731,15.143472,9641.494843,28.669029,826.334268,0.000000,0.812500,0.240352,0.000000,0.821366,0.040625,0.000000,0.000000,2.707793,51.053150,0.000000,0.370076,3.410987,0.000000,1.195038,167.798026,2.507712,5.391136,519.183920,0.000000,3.698620,73.090464,226.093663,0.000000,0.764203,0.000000,0.000000,68.189559,916.174397,0.000000,260.544336,0.000000,9.530171,0.000000,0.000000,9.707091,0.000000,1.028498,0.000000,113.775695,2.586512,0.242063,0.000000,0.000000,0.000000,0.000000,533.578788,28.549048,51.427121,0.000000,0.000000,819.755383,0.373043,758.448297,0.000000,0.537048,0.162958,0.921860,1.506390,0.952123,0.812500,7.700428,14502.859559,3.001015,0.000000,0.423548,0.047567,30.299382,116.596197,0.000000,0.000000
2026-12,11.700000,14.801429,0.000000,1.056250,2.491042,0.991976,0.000000,0.000000,0.000000,3.732258,0.000000,229.586412,0.933065,9.677778,0.000000,0.000000,0.000000,0.000000,36.016879,672.068495,12.617626,2.025974,34.403595,0.000000,55.267344,13.120125,0.000000,110.817464,0.000000,0.000000,0.000000,139.294775,585.781159,77.447299,0.000000,0.000000,0.000000,673.946858,1.642314,0.000000,0.000000,0.278010,0.104870,1.011896,18.949817,0.000000,0.000000,115.064520,1.300000,35.048031,11.258585,1111.964623,21.431446,728.038671,0.000000,0.406250,3.962142,0.000000,9.209194,0.000000,0.000000,0.000000,5.815473,30.017717,0.000000,0.274214,2.967013,0.000000,0.629403,199.312590,0.630682,4.421267,441.425923,0.000000,1.172393,117.002152,226.017489,0.000000,0.590822,0.000000,0.000000,47.195638,1006.789473,0.000000,267.342997,0.000000,2.124009,0.000000,0.000000,5.231158,0.000000,7.495283,0.000000,62.427599,1.066698,0.746032,0.000000,0.000000,0.000000,0.000000,1059.788918,19.008652,89.420401,0.000000,0.000000,616.829465,0.179090,497.504913,0.000000,0.843318,0.413567,0.324975,3.313214,2.534271,0.270833,6.933426,11375.562155,2.348428,0.000000,0.327097,0.006399,12.289326,82.499663,0.000000,0.000000
