date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Dominica,Belize,Antigua & Barbuda,Barbados,Costa Rica,Dominican Rep.,Greece,Malawi
2026-03,0.000000,16.000000,0.000000,4.637500,1.486174,0.908820,0.000000,0.000000,0.000000,0.713046,0.000000,40.528709,0.178261,2.240778,0.000000,0.000000,0.000000,0.000000,24.672807,312.116315,9.089309,26.448094,17.286249,0.000000,11.726317,2.154791,0.000000,106.779088,0.000000,0.000000,0.000000,14.055889,309.922897,12.188837,0.496649,0.000000,0.000000,144.339757,0.285080,0.000000,0.000000,2.325346,0.693511,1.959359,1.177790,0.000000,0.000000,124.878102,0.602500,56.202694,10.592889,924.346102,18.317894,946.336308,0.000000,2.607027,1.687111,0.000000,5.410556,0.047485,0.000000,0.000000,7.879340,878.653177,0.000000,2.800583,0.866727,0.000000,0.390025,72.716842,0.109127,1.909594,139.631974,0.000000,4.410000,38.296361,130.721983,0.000000,0.360781,0.000000,0.000000,202.068042,890.844792,0.000000,188.995738,0.000000,0.884211,0.000000,0.096711,5.500315,0.000000,1.298554,0.000000,416.013369,1.133276,0.054929,0.000000,0.000000,0.000000,0.000000,406.955928,4.579115,19.910657,0.000000,0.000000,800.910485,0.423602,3342.440808,0.000000,1.076850,4.584209,1.319834,2.069500,4.114237,1.023352,2.381057,4443.149614,0.395259,0.000000,0.022581,0.273333,0.811215,57.685075,0.000000,0.000000,0.145224,0.425380,5.200000,0.820000,247.734767,1.352143,0.265946,0.531892
2026-04,0.700000,13.323333,0.000000,2.231250,1.251585,1.739064,0.000000,0.000000,0.000000,2.708110,0.000000,220.982792,0.677028,5.628000,0.000000,0.000000,0.000000,0.000000,17.962602,234.667712,5.458123,6.033092,19.819591,0.000000,10.616056,17.482788,0.000000,137.551260,0.000000,0.000000,0.000000,6.362110,453.553776,17.490042,0.000000,0.000000,0.000000,134.177982,0.323851,0.000000,0.000000,0.548902,0.011524,0.902347,0.264065,0.000000,0.000000,39.952775,2.737749,33.884982,7.459246,597.345943,15.363953,566.426631,0.000000,0.712297,2.060533,0.000000,10.970907,1.194709,0.000000,0.000000,5.895545,418.302886,0.000000,0.128333,0.785270,0.000000,0.443233,52.506492,0.098318,0.102960,229.106783,0.000000,0.000000,60.703508,119.730048,0.000000,0.124090,0.000000,0.000000,236.290343,722.352644,0.000000,147.192530,0.000000,1.694737,0.000000,0.000000,6.871025,0.000000,2.082519,0.000000,1294.172520,0.333015,0.157806,0.000000,0.000000,0.000000,0.000000,313.985513,11.141150,10.074741,0.000000,0.000000,463.523177,0.058756,227.743745,0.816667,0.363065,0.000000,-0.015492,4.493500,0.908151,0.753650,14.251415,7391.116728,0.651724,0.000000,0.022581,0.474444,0.645055,56.153741,0.000000,0.000000,0.137786,0.707233,0.200000,1.423333,0.150538,1.109932,0.472432,0.944865
2026-05,1.400000,25.003333,0.000000,5.293750,2.983365,0.880798,0.000000,0.000000,0.000000,0.341383,0.000000,25.502703,0.085346,0.416889,0.000000,0.000000,0.000000,0.000000,14.745983,246.361808,3.925246,24.351515,22.484150,0.000000,20.771034,16.531159,0.000000,131.929186,0.000000,0.000000,0.000000,5.130497,405.828952,9.454999,0.000000,0.000000,0.000000,148.902590,0.428448,0.000000,0.000000,0.490006,0.000000,0.718390,0.183987,0.000000,0.000000,14.184457,1.737742,29.013775,5.668311,2392.026609,17.086647,220.189177,0.000000,0.013243,1.482873,0.000000,4.322830,0.020643,0.000000,0.000000,2.040973,25.099693,0.000000,1.618750,3.519392,0.000000,0.030500,48.159172,0.062537,0.371392,655.938492,0.000000,0.000000,51.465768,130.591677,0.000000,0.132809,0.000000,0.000000,144.422428,722.603295,0.000000,173.602571,0.000000,2.873684,0.000000,0.175000,8.005682,0.000000,0.575589,0.000000,64.260199,0.308311,0.853067,0.000000,0.000000,0.000000,0.000000,227.578050,20.632583,15.065987,0.000000,0.000000,842.730659,1.697870,271.818735,0.066667,0.089054,2.515217,1.871774,17.584417,0.480976,0.455285,18.180487,8051.761122,1.178859,0.000000,0.112903,0.363611,1.021968,94.430003,0.000000,0.000000,0.172225,1.612629,0.000000,1.090833,4.666667,3.496315,0.353784,0.707568
2026-06,2.100000,15.026667,0.000000,0.393750,2.449280,2.264376,0.000000,0.000000,0.000000,1.870564,0.000000,216.822783,0.467641,0.000000,0.000000,0.000000,0.000000,0.000000,18.236877,189.037101,4.086492,9.339726,17.592827,0.000000,20.604736,17.783645,0.000000,87.854438,0.000000,0.000000,0.000000,3.465337,454.127096,10.800495,0.000000,0.000000,0.000000,129.227459,0.316970,0.000000,0.000000,0.164215,0.282342,1.233370,0.081858,0.000000,0.000000,20.042487,3.142661,27.039759,8.639365,3636.488465,26.408051,339.588710,0.000000,1.225000,0.000000,0.000000,4.954366,0.233333,0.000000,0.000000,0.455095,12.806958,0.000000,0.066500,5.255761,0.000000,0.085714,99.728661,0.094163,0.140238,324.876186,0.000000,1.143333,36.058497,119.397733,0.000000,0.189728,0.000000,0.000000,85.215628,798.566797,0.000000,234.557405,0.000000,2.321053,0.000000,0.442105,6.544607,0.000000,0.249279,0.000000,69.238723,0.025598,0.226370,0.000000,0.000000,0.000000,0.000000,261.519434,9.225576,22.659127,0.000000,0.000000,199.887246,0.068183,118.727635,0.000000,0.853851,0.000000,1.890000,1.795750,1.234273,0.681265,47.735170,3351.637694,1.026207,0.000000,0.045161,0.068056,0.687827,73.471983,0.000000,0.000000,0.072388,1.964478,0.100000,0.204167,4.716846,1.724268,0.066216,0.132432
2026-07,2.800000,99.950000,0.000000,4.593750,1.245469,1.292526,0.000000,0.000000,0.000000,0.689963,0.000000,74.009627,0.172491,24.127444,0.000000,0.000000,0.000000,0.000000,18.149669,202.842652,2.490779,6.066667,17.820981,0.000000,17.140127,3.094083,0.000000,161.523395,0.000000,0.000000,0.000000,9.066637,193.111449,9.421786,0.017837,0.000000,0.000000,154.107208,0.189351,0.000000,0.000000,3.267838,0.152069,1.229670,1.574745,0.000000,0.000000,16.763089,2.107903,33.083778,7.451664,1151.069697,22.142674,387.331229,0.000000,0.189189,0.000000,0.000000,4.444404,0.000000,0.000000,0.000000,1.018579,18.183966,0.000000,0.137667,2.270989,0.000000,0.319351,106.619272,0.274040,0.306955,548.625885,0.000000,0.000000,28.945018,117.104818,0.000000,0.064306,0.000000,0.000000,144.189925,602.370559,0.000000,247.762291,0.000000,6.373684,0.000000,0.000000,10.785300,0.000000,0.064098,0.000000,33.723759,0.456227,0.480814,0.000000,0.000000,0.000000,0.000000,354.577927,8.115323,36.094805,0.000000,0.000000,382.267296,0.448354,829.858025,34.175000,0.239476,0.125352,2.504508,77.651750,1.086476,0.708163,76.559792,3235.434646,0.217241,0.000000,0.045161,0.223611,2.488311,141.090502,0.000000,0.000000,0.100684,1.348899,0.000000,0.670833,0.200717,3.218106,0.217568,0.435135
2026-08,3.500000,21.840000,0.000000,0.000000,1.207204,1.929346,0.000000,0.000000,0.000000,1.448395,0.000000,74.142889,0.362099,1.563333,0.000000,0.000000,0.000000,0.000000,15.873906,108.447636,3.847368,1.569697,26.646863,0.000000,14.758027,6.378251,0.000000,95.029003,0.000000,0.000000,0.000000,27.182172,234.493771,17.148870,0.000000,0.000000,0.000000,164.285376,0.418350,0.000000,0.000000,1.572213,0.023048,5.083856,0.246072,0.000000,0.000000,61.928792,1.729677,30.017755,6.600183,5706.123286,6.638748,568.215248,0.000000,0.567568,3.030036,0.000000,5.173719,0.000000,0.000000,0.000000,1.972257,19.734204,0.000000,0.203000,2.435951,0.000000,0.159163,89.012701,0.043733,0.227032,283.684595,0.000000,0.000000,48.879292,99.886649,0.000000,0.004846,0.000000,0.000000,154.187432,860.017358,0.000000,230.439256,0.000000,0.000000,0.000000,0.000000,12.549841,0.000000,0.246175,0.000000,1492.612539,0.445135,0.093483,0.000000,0.000000,0.000000,0.000000,367.327589,2.534867,11.150317,0.000000,0.000000,1200.283363,0.054438,103.872714,0.000000,1.288962,1.522133,4.673361,0.302500,1.486277,2.397825,36.570875,3417.868499,0.844828,0.000000,0.067742,0.001389,2.855352,201.901781,0.000000,0.000000,0.126849,1.311148,0.100000,0.004167,0.333333,7.372464,0.001351,0.002703
2026-09,4.200000,4.806667,0.000000,2.625000,0.547441,0.691040,0.000000,0.000000,0.000000,8.488977,0.000000,728.747959,2.122244,1.876000,0.000000,0.000000,0.000000,0.000000,14.656615,208.820107,3.221061,0.933333,29.467385,0.000000,25.139737,4.310411,0.000000,92.171701,0.000000,0.000000,0.000000,22.919636,311.044304,16.968586,0.000000,0.000000,0.000000,141.677539,2.973183,0.000000,0.000000,0.266504,0.000000,0.738485,0.094377,0.000000,0.000000,18.517071,6.223343,32.007940,6.038114,1047.819171,13.398194,713.721353,0.000000,49.001892,0.013258,0.000000,2.816572,0.008537,0.000000,0.000000,7.419696,18.202259,0.000000,2.847833,1.770253,0.000000,0.025792,94.212167,0.218854,1.385242,528.927101,0.000000,0.272222,64.580190,123.096525,0.000000,0.639440,0.000000,0.000000,181.154869,711.169312,0.000000,168.662550,0.000000,6.300000,0.000000,1.064000,10.616877,0.000000,0.465517,0.000000,511.296567,1.506394,0.217635,0.000000,0.000000,0.000000,0.000000,357.618548,6.187029,43.761790,0.000000,0.000000,997.766595,0.162585,103.975705,0.000000,0.763924,0.000000,0.774590,0.000000,5.045221,0.156504,19.869774,2824.847311,0.144828,0.000000,0.022581,0.000000,2.777799,103.823623,0.000000,0.000000,0.345733,1.616835,0.000000,0.000000,6.573477,7.421186,0.000000,0.000000
2026-10,4.900000,23.300000,0.000000,0.393750,0.015926,0.534430,0.000000,0.000000,0.000000,1.443087,0.000000,148.511663,0.360772,2.084444,0.000000,0.000000,0.000000,0.000000,17.560005,103.043090,5.692814,5.071111,17.465771,0.000000,65.531343,13.507390,0.000000,97.198236,0.000000,0.000000,0.000000,29.831051,329.812107,6.772854,0.000000,0.000000,0.000000,181.111263,0.177148,0.000000,0.000000,0.933043,0.028810,0.211966,0.482131,0.000000,0.000000,37.105494,0.595000,37.337550,6.137166,1458.825995,19.766664,517.542904,0.000000,0.352838,1.907434,0.000000,5.065494,0.262500,0.000000,0.000000,5.979295,16.112751,0.000000,0.126583,3.175597,0.000000,1.118228,75.615977,0.335875,1.170910,291.162403,0.000000,0.816667,65.386097,97.326416,0.000000,1.006325,0.000000,0.000000,194.379748,640.709683,0.000000,253.586005,0.000000,2.100000,0.000000,0.044211,21.814572,0.000000,0.114716,0.000000,101.484473,0.089528,0.078197,0.000000,0.000000,0.000000,0.000000,434.337708,3.649543,30.570982,0.000000,0.000000,323.521355,0.195373,173.994044,0.000000,0.284708,0.376056,1.037951,0.002750,1.886169,0.320122,14.543981,3363.530457,0.102586,0.000000,0.350000,0.000000,6.351853,146.235188,0.000000,0.000000,0.184751,0.792589,0.100000,0.000000,-0.050179,5.498297,0.000000,0.000000
2026-11,5.600000,4.806667,0.000000,1.575000,0.919479,0.515364,0.000000,0.000000,0.000000,2.270929,0.000000,236.896199,0.567732,8.494111,0.000000,0.000000,0.000000,0.000000,15.312789,264.958137,4.101062,0.933333,18.465222,0.000000,15.047711,21.957567,0.000000,73.777567,0.000000,0.000000,0.000000,28.671012,247.017528,6.800081,0.087500,0.000000,0.000000,264.691676,1.840274,0.000000,0.000000,0.727760,0.155576,0.867120,0.250792,0.000000,0.000000,16.854688,0.305000,42.022238,4.830175,609.992996,3.633537,512.178884,0.000000,0.357568,0.013258,0.000000,12.253803,0.021875,0.000000,0.000000,2.869127,21.826772,0.000000,0.244417,0.688885,0.000000,0.142000,97.931396,0.210853,0.917330,358.669307,0.000000,2.177778,36.120117,123.162701,0.000000,0.193910,0.000000,0.000000,249.340432,741.297012,0.000000,237.576456,0.000000,65.100000,0.000000,0.000000,12.638149,0.000000,0.361338,0.000000,105.846148,0.182228,0.283316,0.000000,0.000000,0.000000,0.000000,432.026456,7.226745,22.333665,0.000000,0.000000,441.406745,0.002065,559.807950,0.000000,0.481800,0.125352,6.403279,5.076250,0.352310,0.433943,15.155694,3036.588619,0.069397,0.000000,0.022581,0.000000,2.236608,208.426838,0.000000,0.000000,0.335476,0.790741,0.300000,0.000000,0.200717,3.958346,0.000000,0.000000
2026-12,6.300000,7.970000,0.000000,0.568750,1.341330,0.756868,0.000000,0.000000,0.000000,2.145455,0.000000,150.750351,0.536364,5.211111,0.000000,0.000000,0.000000,0.000000,16.317159,276.837277,5.065147,0.960357,18.525013,0.000000,12.084094,3.071971,0.000000,59.670942,0.000000,0.000000,0.000000,39.284481,343.608799,6.308710,0.000000,0.000000,0.000000,193.906475,1.507087,0.000000,0.000000,0.611138,0.040335,4.461312,10.889414,0.000000,0.000000,30.773459,0.620000,46.751482,7.581738,5948.689754,10.731987,153.586850,0.000000,0.000946,2.840181,0.000000,4.120868,0.000000,0.000000,0.000000,3.640204,81.013383,0.000000,0.709333,1.446145,0.000000,0.577143,116.668315,0.769036,0.793445,262.266136,0.000000,3.577778,37.620517,101.765493,0.000000,2.074751,0.000000,0.000000,204.733333,642.792565,0.000000,210.487129,0.000000,50.400000,0.000000,0.000000,13.551945,0.000000,0.179979,0.000000,114.346788,0.169280,0.470924,0.000000,0.000000,0.000000,0.000000,753.921188,0.154112,40.172278,0.000000,0.000000,332.138943,0.617133,257.953205,0.000000,0.260647,0.250704,5.060656,1.334667,1.186125,0.153492,38.407446,4651.967015,0.000000,0.000000,0.045161,0.024306,2.903429,186.784686,0.000000,0.000000,0.709029,0.629842,0.000000,0.072917,-0.100358,6.712033,0.025000,0.050000
