,Yemen,Algeria,Chad,Mali,France,Mauritania,Niger,Egypt,Sudan,Dem. Rep. Congo,Uganda,Ethiopia,Kenya,Burundi,Tanzania,Rwanda,Thailand,Guinea,Madagascar,Djibouti,Somalia,Ghana,Comoros,Central African Rep.,Gambia,Sierra Leone,Lesotho,Liberia,Mozambique,Zambia,Nigeria,South Africa,eSwatini,Zimbabwe,Botswana,Togo,Tunisia,Angola,Cameroon,Eritrea,Morocco,Namibia,Congo,Guinea-Bissau,Iraq,S. Sudan,Papua New Guinea,Senegal,Côte d'Ivoire,Libya,Bahrain,Philippines,Syria,Turkey,Myanmar,Bangladesh,India,China,Pakistan,Afghanistan,Laos,Tajikistan,Lebanon,Uzbekistan,Kyrgyzstan,Solomon Islands,Israel,Iran,Malaysia,Russia,Spain,United Kingdom,Germany,Netherlands,Honduras,Azerbaijan,Armenia,Brazil,Indonesia,Sri Lanka,Mexico,Trinidad and Tobago,Bosnia and Herz.,Serbia,Croatia,Nepal,Colombia,Bhutan,Cambodia,Jordan,Saudi Arabia,Ecuador,Jamaica,Bolivia,Canada,Guatemala,Haiti,United States of America,Guyana,Peru,Argentina,Paraguay,Italy,Venezuela,El Salvador,Panama,Nicaragua,Kuwait,Ukraine,Malta,United Arab Emirates,Moldova,Romania,Qatar,Georgia,Albania,Macedonia,Burkina Faso,Belgium,Sweden,Australia,Benin,Austria,Poland,Dem. Rep. Congo,Dominica,S. Sudan,Myanmar,Russia
1989-01-31,0,0,0,0,0,0,0,0,100,0,0,2716,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,60,0,0,16,0,19,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,2,0,0,49,0,3,691,0,0,142,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,21,2,0,0,0,0,0,9,0,0,0,0,0,1,0,0,30,0,0,0,103,0,0,0,0,126,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-02-28,0,0,0,0,0,0,0,0,32,28,0,9682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,12,2,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,37,0,22,0,0,160,0,0,73,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,110,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,13,0,0,0,52,0,150,0,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-03-31,0,0,0,0,0,0,0,0,102,0,0,441,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,9,0,9,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,11,152,0,37,0,29,1744,0,0,127,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,21,0,5,0,0,0,0,0,0,6,0,0,0,112,0,0,0,17,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-04-30,0,0,0,0,0,102,0,0,290,0,94,476,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,454,0,0,369,0,0,0,0,0,105,0,0,0,0,0,0,0,0,2,121,0,0,0,58,0,17,55,0,113,0,25,494,0,0,120,0,0,0,11,0,0,20,2,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,13,0,300,0,0,0,0,0,0,12,48,0,0,159,0,0,0,0,19,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-05-31,0,0,0,0,0,0,0,0,460,0,557,242,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,192,4,0,13,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,71,179,10,20,0,4,442,0,0,85,0,0,0,14,0,0,0,5,1,0,0,0,0,0,0,2,72,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,114,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-06-30,0,0,0,0,0,3,0,0,40,0,350,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,8,0,15,0,0,0,0,0,24,0,0,4,0,0,0,0,0,1,0,0,0,0,155,0,43,31,12,65,2600,0,495,0,0,27,0,0,0,3,0,0,97,0,2,0,0,0,0,0,0,0,27,0,0,0,0,0,0,15,0,36,0,0,0,0,0,0,8,0,0,0,197,0,0,0,0,36,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-07-31,0,0,0,0,0,4,0,0,0,0,0,85,0,0,0,0,6,0,0,0,192,0,0,0,0,0,0,0,183,16,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,44,57,15,4,0,10,608,0,0,123,0,0,0,24,0,0,0,2,2,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,169,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-08-31,0,0,0,0,0,0,0,0,2,0,0,88,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,128,2,0,12,0,0,0,0,0,291,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,76,0,17,157,0,18,210,30,0,262,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,2,120,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-09-30,0,0,0,0,0,0,170,0,18,0,0,870,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,68,6,0,58,0,0,0,0,0,494,0,0,4,0,0,0,0,0,1,0,0,0,0,97,0,42,0,13,40,0,10,71,0,0,65,0,0,0,9,0,0,0,4,13,0,0,0,0,0,0,1,38,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,7,0,0,0,19,0,0,0,0,53,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-10-31,0,0,0,0,0,0,0,0,199,0,0,4537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,8,0,20,0,0,0,0,0,255,0,0,25,0,0,0,0,0,0,0,0,0,0,31,0,95,0,9,415,0,0,239,0,0,5,0,0,0,7,0,0,0,1,2,2,0,0,0,0,0,0,60,0,0,0,0,0,0,7,0,108,0,0,0,0,0,0,4,0,0,0,231,0,0,0,5,1,77,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
