country,region
Afghanistan,Asia
Albania,Europe
Algeria,Africa
Angola,Africa
Argentina,Americas
Armenia,Europe
Australia,Asia
Austria,Europe
Azerbaijan,Europe
Bahrain,Middle East
Bangladesh,Asia
Belgium,Europe
Benin,Africa
Bhutan,Asia
Bolivia,Americas
Bosnia-Herzegovina,Europe
Botswana,Africa
Brazil,Americas
Burkina Faso,Africa
Burundi,Africa
Cambodia (Kampuchea),Asia
Cameroon,Africa
Canada,Americas
Central African Republic,Africa
Chad,Africa
China,Asia
Colombia,Americas
Comoros,Africa
Congo,Africa
Croatia,Europe
DR Congo (Zaire),Africa
Denmark,Europe
Djibouti,Africa
Ecuador,Americas
Egypt,Middle East
El Salvador,Americas
Eritrea,Africa
Ethiopia,Africa
France,Europe
Gabon,Africa
Gambia,Africa
Georgia,Europe
Germany,Europe
Ghana,Africa
Guatemala,Americas
Guinea,Africa
Guinea-Bissau,Africa
Guyana,Americas
Haiti,Americas
Honduras,Americas
India,Asia
Indonesia,Asia
Iran,Middle East
Iraq,Middle East
Ireland,Europe
Israel,Middle East
Italy,Europe
Ivory Coast,Africa
Jamaica,Americas
Jordan,Middle East
Kenya,Africa
Kingdom of eSwatini (Swaziland),Africa
Kosovo,Europe
Kuwait,Middle East
Kyrgyzstan,Asia
Laos,Asia
Lebanon,Middle East
Lesotho,Africa
Liberia,Africa
Libya,Africa
North Macedonia,Europe
Madagascar (Malagasy),Africa
Malaysia,Asia
Mali,Africa
Malta,Europe
Mauritania,Africa
Mexico,Americas
Moldova,Europe
Morocco,Africa
Mozambique,Africa
Myanmar (Burma),Asia
Namibia,Africa
Nepal,Asia
Netherlands,Europe
Nicaragua,Americas
Niger,Africa
Nigeria,Africa
Pakistan,Asia
Panama,Americas
Papua New Guinea,Asia
Paraguay,Americas
Peru,Americas
Philippines,Asia
Poland,Europe
Qatar,Middle East
Romania,Europe
Russia (Soviet Union),Europe
Rwanda,Africa
Saudi Arabia,Middle East
Senegal,Africa
Serbia (Yugoslavia),Europe
Sierra Leone,Africa
Solomon Islands,Asia
Somalia,Africa
South Africa,Africa
South Sudan,Africa
Spain,Europe
Sri Lanka,Asia
Sudan,Africa
Sweden,Europe
Syria,Middle East
Tajikistan,Asia
Tanzania,Africa
Thailand,Asia
Togo,Africa
Trinidad and Tobago,Americas
Tunisia,Africa
Turkey,Middle East
Uganda,Africa
Ukraine,Europe
United Arab Emirates,Middle East
United Kingdom,Europe
United States of America,Americas
Uzbekistan,Asia
Venezuela,Americas
Vietnam (North Vietnam),Asia
Yemen (North Yemen),Middle East
Zambia,Africa
Zimbabwe (Rhodesia),Africa
